name,vuln-id,published,modified,source,severity,vuln-type,vuln-descript,cve-id,vuln-solution
Crafatar 路径遍历漏洞,CNNVD-202402-055,2024-02-01,2024-02-04,,高危,路径遍历,Crafatar是Crafatar公司的一个应用程序，提供基于皮肤的 Minecraft 头像，供外部应用程序使用。 Crafatar 2.1.5之前版本存在路径遍历漏洞，该漏洞源于在默认情况下，容器内的所有文件可以在存储库中找到，并且不是机密的。,CVE-2024-24756,
Discourse 信息泄露漏洞,CNNVD-202402-072,2024-02-01,2024-02-19,,中危,信息泄露,Discourse是一套开源的社区讨论平台。该平台包括社区、电子邮件和聊天室等功能。 Discourse discourse-group-membership-ip-block存在信息泄露漏洞，该漏洞源于将所有组自定义字段发送到客户端，包括来自其他插件的组自定义字段。,CVE-2024-24755,
WordPress plugin Posts to Page 跨站脚本漏洞,CNNVD-202402-007,2024-02-01,2024-02-07,,中危,跨站脚本,WordPress和WordPress plugin都是WordPress基金会的产品。WordPress是一套使用PHP语言开发的博客平台。该平台支持在PHP和MySQL的服务器上架设个人博客网站。WordPress plugin是一个应用插件。 WordPress plugin Posts to Page 存在跨站脚本漏洞。攻击者利用该漏洞可以将恶意脚本注入网站。,CVE-2023-52195,
WordPress plugin WP Booking Calendar 跨站脚本漏洞,CNNVD-202402-023,2024-02-01,2024-02-07,,中危,跨站脚本,WordPress和WordPress plugin都是WordPress基金会的产品。WordPress是一套使用PHP语言开发的博客平台。该平台支持在PHP和MySQL的服务器上架设个人博客网站。WordPress plugin是一个应用插件。 WordPress plugin WP Booking Calendar 存在跨站脚本漏洞。攻击者利用该漏洞可以将恶意脚本注入网站。,CVE-2023-51520,
WordPress plugin CBX Bookmark and Favorite 跨站脚本漏洞,CNNVD-202402-019,2024-02-01,2024-02-07,,中危,跨站脚本,WordPress和WordPress plugin都是WordPress基金会的产品。WordPress是一套使用PHP语言开发的博客平台。该平台支持在PHP和MySQL的服务器上架设个人博客网站。WordPress plugin是一个应用插件。 WordPress plugin CBX Bookmark and Favorite 存在跨站脚本漏洞。攻击者利用该漏洞可以将恶意脚本注入网站。,CVE-2023-51514,
EyouCms 跨站脚本漏洞,CNNVD-202402-073,2024-02-01,2024-02-05,,中危,跨站脚本,赞赞网络科技 EyouCms（易优CMS）是中国赞赞网络科技公司的一套基于ThinkPHP的开源内容管理系统（CMS）。 EyouCms v.1.6.5版本存在跨站脚本漏洞，该漏洞源于numr参数中存在跨站脚本漏洞，允许远程攻击者通过精心设计的 URL 运行任意代码。,CVE-2024-23032,
Livewire 跨站请求伪造漏洞,CNNVD-202402-022,2024-02-01,2024-02-20,,高危,跨站请求伪造,Livewire是Laravel 的全栈框架，允许您在不离开 PHP 的情况下构建动态 UI 组件。 Livewire v3.0.4之前版本存在跨站请求伪造漏洞，该漏洞源于允许远程攻击者通过getCsrfToken函数执行任意代码。,CVE-2024-22859,
WordPress plugin Easy Digital Downloads 跨站脚本漏洞,CNNVD-202402-032,2024-02-01,2024-02-07,,中危,跨站脚本,WordPress和WordPress plugin都是WordPress基金会的产品。WordPress是一套使用PHP语言开发的博客平台。该平台支持在PHP和MySQL的服务器上架设个人博客网站。WordPress plugin是一个应用插件。 WordPress plugin Easy Digital Downloads 存在跨站脚本漏洞。攻击者利用该漏洞可以将恶意脚本注入网站。,CVE-2023-51684,
IBM QRadar SOAR Plug-in 访问控制错误漏洞,CNNVD-202402-003,2024-02-01,2024-02-05,,中危,授权问题,IBM QRadar SOAR Plug-in是美国国际商业机器（IBM）公司的用于在IBM Security QRadar SIEM 和 QRadar SOAR 之间提供双向信息传输的工具。 IBM QRadar SOAR Plug-in 1.0版本至5.0.3版本存在访问控制错误漏洞，该漏洞源于访问控制不当，可能允许经过身份验证的用户执行未经授权的操作。,CVE-2023-38263,
WordPress plugin Auto Amazon Links 跨站脚本漏洞,CNNVD-202402-016,2024-02-01,2024-02-07,,中危,跨站脚本,WordPress和WordPress plugin都是WordPress基金会的产品。WordPress是一套使用PHP语言开发的博客平台。该平台支持在PHP和MySQL的服务器上架设个人博客网站。WordPress plugin是一个应用插件。 WordPress plugin Auto Amazon Links 存在跨站脚本漏洞。攻击者利用该漏洞可以将恶意脚本注入网站。,CVE-2023-52175,
IBM PowerSC 加密问题漏洞,CNNVD-202402-059,2024-02-01,2024-02-04,,中危,加密问题,IBM PowerSC是美国国际商业机器（IBM）公司的一款用于IBM Power Systems服务器的安全和合规性解决方案。 IBM PowerSC 1.3版本、2.0版本、2.1版本存在加密问题漏洞，该漏洞源于使用比预期弱的加密算法。攻击者利用该漏洞可以解密高度敏感的信息。,CVE-2023-50939,
WordPress plugin Shortcodes Finder 跨站脚本漏洞,CNNVD-202402-011,2024-02-01,2024-02-04,,中危,跨站脚本,WordPress和WordPress plugin都是WordPress基金会的产品。WordPress是一套使用PHP语言开发的博客平台。该平台支持在PHP和MySQL的服务器上架设个人博客网站。WordPress plugin是一个应用插件。 WordPress plugin Shortcodes Finder 存在跨站脚本漏洞。攻击者利用该漏洞可以将恶意脚本注入网站。,CVE-2024-21750,
Dell PowerScale OneFS 访问控制错误漏洞,CNNVD-202402-006,2024-02-01,2024-02-04,,高危,授权问题,Dell PowerScale OneFS是美国戴尔（Dell）公司的一个操作系统。提供横向扩展NAS的PowerScale OneFS操作系统。 Dell PowerScale OneFS 9.0.0.x版本至9.6.0.x版本存在安全漏洞，该漏洞源于包含缺少关键功能验证的漏洞，本地低权限恶意用户可能会利用此漏洞来获得更高的访问权限。,CVE-2024-22449,
WordPress plugin Easy Video Player 跨站脚本漏洞,CNNVD-202402-030,2024-02-01,2024-02-07,,中危,跨站脚本,WordPress和WordPress plugin都是WordPress基金会的产品。WordPress是一套使用PHP语言开发的博客平台。该平台支持在PHP和MySQL的服务器上架设个人博客网站。WordPress plugin是一个应用插件。 WordPress plugin Easy Video Player 存在跨站脚本漏洞。攻击者利用该漏洞可以将恶意脚本注入网站。,CVE-2023-51689,
Dassault Systèmes DELMIA Apriso 日志信息泄露漏洞,CNNVD-202402-040,2024-02-01,2024-02-20,,高危,日志信息泄露,Dassault Systèmes DELMIA Apriso是法国达索系统（Dassault Systèmes）公司的一款数字化企业的互动制造应用软件。 Dassault Systèmes DELMIA Apriso 2019版本至2024版本存在日志信息泄露漏洞，该漏洞源于存在敏感信息泄露漏洞。,CVE-2024-0935,
SEW-EURODRIVE MOVITOOLS MotionStudio 代码问题漏洞,CNNVD-202402-050,2024-02-01,2024-02-18,,高危,代码问题,SEW-EURODRIVE MOVITOOLS MotionStudio是德国赛威传动（SEW-EURODRIVE）公司的一款工程软件。 SEW-EURODRIVE MOVITOOLS MotionStudio 6.5.0.2版本存在安全漏洞，该漏洞源于处理XML信息时可能会出现不受限制的文件访问。,CVE-2024-1167,
Travel Journal 跨站脚本漏洞,CNNVD-202402-063,2024-02-01,2024-02-19,,高危,跨站脚本,Travel Journal是rems个人开发者的一个旅行日记。 Travel Journal v1.0版本存在跨站脚本漏洞，该漏洞源于允许攻击者将精心设计的有效负载注入到/travel-journal/write 的Share Your Moments参数中来执行任意 Web 脚本或 HTML。,CVE-2024-24945,
WordPress plugin WP User Profile Avatar 跨站脚本漏洞,CNNVD-202402-025,2024-02-01,2024-02-07,,中危,跨站脚本,WordPress和WordPress plugin都是WordPress基金会的产品。WordPress是一套使用PHP语言开发的博客平台。该平台支持在PHP和MySQL的服务器上架设个人博客网站。WordPress plugin是一个应用插件。 WordPress plugin WP User Profile Avatar 存在跨站脚本漏洞。攻击者利用该漏洞可以将恶意脚本注入网站。,CVE-2023-52118,
WordPress plugin Advanced iFrame 跨站脚本漏洞,CNNVD-202402-028,2024-02-01,2024-02-07,,中危,跨站脚本,WordPress和WordPress plugin都是WordPress基金会的产品。WordPress是一套使用PHP语言开发的博客平台。该平台支持在PHP和MySQL的服务器上架设个人博客网站。WordPress plugin是一个应用插件。 WordPress plugin Advanced iFrame 存在跨站脚本漏洞。攻击者利用该漏洞可以将恶意脚本注入网站。,CVE-2023-51690,
WordPress plugin Ideal Interactive Map 跨站脚本漏洞,CNNVD-202402-015,2024-02-01,2024-02-04,,中危,跨站脚本,WordPress和WordPress plugin都是WordPress基金会的产品。WordPress是一套使用PHP语言开发的博客平台。该平台支持在PHP和MySQL的服务器上架设个人博客网站。WordPress plugin是一个应用插件。 WordPress plugin Ideal Interactive Map 存在跨站脚本漏洞。攻击者利用该漏洞可以将恶意脚本注入网站。,CVE-2023-52189,
EyouCms 跨站脚本漏洞,CNNVD-202402-068,2024-02-01,2024-02-22,,中危,跨站脚本,赞赞网络科技 EyouCms（易优CMS）是中国赞赞网络科技公司的一套基于ThinkPHP的开源内容管理系统（CMS）。 EyouCms v.1.6.5版本存在跨站脚本漏洞，该漏洞源于is_water参数中存在跨站脚本漏洞，允许远程攻击者通过精心设计的 URL 运行任意代码。,CVE-2024-23031,
WordPress plugin Keap Official Opt-in Forms 跨站脚本漏洞,CNNVD-202402-013,2024-02-01,2024-02-06,,中危,跨站脚本,WordPress和WordPress plugin都是WordPress基金会的产品。WordPress是一套使用PHP语言开发的博客平台。该平台支持在PHP和MySQL的服务器上架设个人博客网站。WordPress plugin是一个应用插件。 WordPress plugin Keap Official Opt-in Forms 存在跨站脚本漏洞。攻击者利用该漏洞可以将恶意脚本注入网站。,CVE-2023-52192,
WordPress plugin Embed Privacy 跨站脚本漏洞,CNNVD-202402-029,2024-02-01,2024-02-07,,中危,跨站脚本,WordPress和WordPress plugin都是WordPress基金会的产品。WordPress是一套使用PHP语言开发的博客平台。该平台支持在PHP和MySQL的服务器上架设个人博客网站。WordPress plugin是一个应用插件。 WordPress plugin Embed Privacy 存在跨站脚本漏洞。攻击者利用该漏洞可以将恶意脚本注入网站。,CVE-2023-51694,
WordPress plugin Themify Icons 跨站脚本漏洞,CNNVD-202402-026,2024-02-01,2024-02-07,,中危,跨站脚本,WordPress和WordPress plugin都是WordPress基金会的产品。WordPress是一套使用PHP语言开发的博客平台。该平台支持在PHP和MySQL的服务器上架设个人博客网站。WordPress plugin是一个应用插件。 WordPress plugin Themify Icons 存在跨站脚本漏洞。攻击者利用该漏洞可以将恶意脚本注入网站。,CVE-2023-51693,
Helix Sync 命令注入漏洞,CNNVD-202402-075,2024-02-01,2024-02-18,,高危,命令注入,perforce Helix Sync是perforce公司的一款简化工具。 Helix Sync 2024.1之前版本存在安全漏洞，该漏洞源于存在本地命令注入。,CVE-2024-0325,
Moby 访问控制错误漏洞,CNNVD-202402-060,2024-02-01,2024-02-04,,中危,授权问题,Moby是一个开源项目，旨在推动软件的容器化，并帮助生态系统使容器技术主流化。 Moby 24.0.9之前、25.0.2之前版本存在访问控制错误漏洞，该漏洞源于在构建镜像时，经典的构建器缓存系统很容易出现缓存中毒。,CVE-2024-24557,
WordPress plugin Comments 跨站脚本漏洞,CNNVD-202402-027,2024-02-01,2024-02-07,,中危,跨站脚本,WordPress和WordPress plugin都是WordPress基金会的产品。WordPress是一套使用PHP语言开发的博客平台。该平台支持在PHP和MySQL的服务器上架设个人博客网站。WordPress plugin是一个应用插件。 WordPress plugin Comments 存在跨站脚本漏洞。攻击者利用该漏洞可以将恶意脚本注入网站。,CVE-2023-51691,
Vyper 缓冲区错误漏洞,CNNVD-202402-057,2024-02-01,2024-02-29,,超危,缓冲区错误,Vyper是EVM 的 Pythonic 智能合约语言。 Vyper 0.3.10及之前版本存在缓冲区错误漏洞，该漏洞源于slice() 函数的边界检查可能会溢出，攻击者利用该漏洞可以对存储、内存或调用数据地址进行 OOB 访问，还可破坏相应数组的长度槽。,CVE-2024-24561,
Travel Journal 跨站脚本漏洞,CNNVD-202402-067,2024-02-01,2024-02-19,,高危,跨站脚本,Travel Journal是rems个人开发者的一个旅行日记。 Travel Journal v1.0版本存在跨站脚本漏洞，该漏洞源于允许攻击者将精心设计的有效负载注入到 /travel-journal/write-journal 的location参数中来执行任意 Web 脚本或 HTML。,CVE-2024-24041,
WordPress plugin Product Code for WooCommerce 跨站脚本漏洞,CNNVD-202402-037,2024-02-01,2024-02-05,,中危,跨站脚本,WordPress和WordPress plugin都是WordPress基金会的产品。WordPress是一套使用PHP语言开发的博客平台。该平台支持在PHP和MySQL的服务器上架设个人博客网站。WordPress plugin是一个应用插件。 存在跨站脚本漏洞。攻击者利用该漏洞可以将恶意脚本注入网站。,CVE-2023-51669,
EyouCms 跨站脚本漏洞,CNNVD-202402-070,2024-02-01,2024-02-05,,中危,跨站脚本,赞赞网络科技 EyouCms（易优CMS）是中国赞赞网络科技公司的一套基于ThinkPHP的开源内容管理系统（CMS）。 EyouCms v.1.6.5版本存在跨站脚本漏洞，该漏洞源于func 参数中存在跨站脚本漏洞，允许远程攻击者通过精心设计的 URL 运行任意代码。,CVE-2024-22927,
WordPress plugin Schema and Structured Data for WP and AMP 跨站脚本漏洞,CNNVD-202402-036,2024-02-01,2024-02-05,,中危,跨站脚本,WordPress和WordPress plugin都是WordPress基金会的产品。WordPress是一套使用PHP语言开发的博客平台。该平台支持在PHP和MySQL的服务器上架设个人博客网站。WordPress plugin是一个应用插件。 WordPress plugin Schema and Structured Data for WP and AMP 存在跨站脚本漏洞。攻击者利用该漏洞可以将恶意脚本注入网站。,CVE-2023-51677,
Statamic 跨站脚本漏洞,CNNVD-202402-056,2024-02-01,2024-02-22,,中危,跨站脚本,Statamic是美国Statamic公司的一个基于 Laravel 构建的强大的平面文件 Cms。用于将所有内容、模板、资产和设置存储在文件而不是数据库中。 Statamic 存在跨站脚本漏洞，该漏洞源于攻击者可以制作并上传像 jpg 文件的 HTML 文件，从而导致跨站脚本攻击。,CVE-2024-24570,
Bref 资源管理错误漏洞,CNNVD-202402-046,2024-02-01,2024-02-05,,中危,资源管理错误,Bref是Matthieu Napoli个人开发者的一个开源项目，可帮助您使用 PHP 在 AWS 上实现无服务器。 Bref 2.1.13之前版本存在资源管理错误漏洞，该漏洞源于在处理请求后不会删除临时文件。,CVE-2024-24752,
IBM QRadar SOAR Plug-in 路径遍历漏洞,CNNVD-202402-002,2024-02-01,2024-02-05,,高危,路径遍历,IBM QRadar SOAR Plug-in是美国国际商业机器（IBM）公司的用于在IBM Security QRadar SIEM 和 QRadar SOAR 之间提供双向信息传输的工具。 IBM QRadar SOAR Plug-in 1.0版本至5.0.3版本存在路径遍历漏洞，该漏洞源于可能允许远程攻击者遍历系统上的目录，攻击者可以发送特制URL请求来查看系统上的任意文件。,CVE-2023-38019,
WordPress plugin WP Smart Editor 跨站脚本漏洞,CNNVD-202402-008,2024-02-01,2024-02-04,,中危,跨站脚本,WordPress和WordPress plugin都是WordPress基金会的产品。WordPress是一套使用PHP语言开发的博客平台。该平台支持在PHP和MySQL的服务器上架设个人博客网站。WordPress plugin是一个应用插件。 WordPress plugin WP Smart Editor 存在跨站脚本漏洞。攻击者利用该漏洞可以将恶意脚本注入网站。,CVE-2024-22148,
WordPress plugin Page Builder: Live Composer 跨站脚本漏洞,CNNVD-202402-012,2024-02-01,2024-02-07,,中危,跨站脚本,WordPress和WordPress plugin都是WordPress基金会的产品。WordPress是一套使用PHP语言开发的博客平台。该平台支持在PHP和MySQL的服务器上架设个人博客网站。WordPress plugin是一个应用插件。 WordPress plugin Page Builder: Live Composer 存在跨站脚本漏洞。攻击者利用该漏洞可以将恶意脚本注入网站。,CVE-2023-52193,
Java Code Security Toolkit 路径遍历漏洞,CNNVD-202402-069,2024-02-01,2024-02-18,,中危,路径遍历,Java Code Security Toolkit是一组旨在帮助保护 Java 代码安全的安全 API。 Java Code Security Toolkit 1.1.1 及之前版本存在路径遍历漏洞，该漏洞源于ZipSecurity#isBelowCurrentDirectory容易受到部分路径遍历漏洞的影响。,CVE-2024-24569,
WordPress plugin oEmbed Gist 跨站脚本漏洞,CNNVD-202402-009,2024-02-01,2024-02-07,,中危,跨站脚本,WordPress和WordPress plugin都是WordPress基金会的产品。WordPress是一套使用PHP语言开发的博客平台。该平台支持在PHP和MySQL的服务器上架设个人博客网站。WordPress plugin是一个应用插件。 WordPress plugin oEmbed Gist 存在跨站脚本漏洞。攻击者利用该漏洞可以将恶意脚本注入网站。,CVE-2023-52194,
WordPress plugin Everest Forms 跨站脚本漏洞,CNNVD-202402-024,2024-02-01,2024-02-07,,中危,跨站脚本,WordPress和WordPress plugin都是WordPress基金会的产品。WordPress是一套使用PHP语言开发的博客平台。该平台支持在PHP和MySQL的服务器上架设个人博客网站。WordPress plugin是一个应用插件。 WordPress plugin Everest Forms 存在跨站脚本漏洞。攻击者利用该漏洞可以将恶意脚本注入网站。,CVE-2023-51695,
WordPress plugin Footer Putter 跨站脚本漏洞,CNNVD-202402-017,2024-02-01,2024-02-04,,中危,跨站脚本,WordPress和WordPress plugin都是WordPress基金会的产品。WordPress是一套使用PHP语言开发的博客平台。该平台支持在PHP和MySQL的服务器上架设个人博客网站。WordPress plugin是一个应用插件。 WordPress plugin Footer Putter 存在跨站脚本漏洞。攻击者利用该漏洞可以将恶意脚本注入网站。,CVE-2023-52188,
WordPress plugin Brave 跨站脚本漏洞,CNNVD-202402-065,2024-02-01,2024-02-07,,中危,跨站脚本,WordPress和WordPress plugin都是WordPress基金会的产品。WordPress是一套使用PHP语言开发的博客平台。该平台支持在PHP和MySQL的服务器上架设个人博客网站。WordPress plugin是一个应用插件。 WordPress plugin Brave 存在跨站脚本漏洞。攻击者利用该漏洞可以将恶意脚本注入网站。,CVE-2023-51534,
WordPress plugin CRM Perks Forms 跨站脚本漏洞,CNNVD-202402-066,2024-02-01,2024-02-05,,中危,跨站脚本,WordPress和WordPress plugin都是WordPress基金会的产品。WordPress是一套使用PHP语言开发的博客平台。该平台支持在PHP和MySQL的服务器上架设个人博客网站。WordPress plugin是一个应用插件。 WordPress plugin CRM Perks Forms 存在跨站脚本漏洞。攻击者利用该漏洞可以将恶意脚本注入网站。,CVE-2023-51536,
IBM Operational Decision Manager 注入漏洞,CNNVD-202402-084,2024-02-02,2024-02-07,,超危,注入,IBM Operational Decision Manager是美国国际商业机器（IBM）公司的一种决策管理解决方案，用于帮助组织更好地管理和执行业务规则和决策。 IBM Operational Decision Manager 8.10.3 版本、8.10.4 版本、8.10.5.1 版本、8.11 版本、8.11.0.1 版本和 8.12.0.1 版本存在注入漏洞，该漏洞源于通过发送带有特制内容的请求，可以将未经净化的内容注入 LDAP 过滤器。,CVE-2024-22319,
QNAP 多款产品操作系统命令注入漏洞,CNNVD-202402-195,2024-02-02,2024-02-19,,高危,授权问题,QNAP Systems QuTScloud等都是中国威联通科技（QNAP Systems）公司的产品。QNAP Systems QuTScloud是一种 QNAP NAS 操作系统的云端优化版本。QNAP Systems QTS是一个入门到中阶QNAP NAS 使用的操作系统。QNAP Systems QuTS hero是一个操作系统。 QNAP 多款产品存在操作系统命令注入漏洞，该漏洞源于存在操作系统命令注入漏洞。该漏洞可能允许经过身份验证的用户通过网络执行命令。以下产品及版本受到影响：QTS 5.1.4.2596 版本之前，QTS 4.5.4.2627 版本之前，QuTS hero h5.1.4.2596 版本之前，QuTS hero h4.5.4.2626 版本之前，QuTScloud c5.1.5.2651 版本之前。,CVE-2023-39297,
BandR Industrial Automation Studio 路径遍历漏洞,CNNVD-202402-121,2024-02-02,2024-02-18,,高危,路径遍历,BandR Industrial Automation Studio是奥地利贝加莱工业自动化（BandR Industrial Automation）公司的一套集成开发环境（IDE），用于开发和编程其自动化解决方案。 BandR Industrial Automation Studio 4.0到4.12版本存在安全漏洞，该漏洞源于允许相对路径遍历。,CVE-2021-22281,
ManageEngine SQL注入漏洞,CNNVD-202402-145,2024-02-02,2024-02-18,,高危,SQL注入,ManageEngine是ManageEngine公司的一系列IT管理解决方案。 ManageEngine ADAudit Plus 7270及之前版本存在安全漏洞，该漏洞源于容易受到经过身份验证的SQL注入攻击。,CVE-2024-0253,
QNAP Systems Photo Station 命令注入漏洞,CNNVD-202402-172,2024-02-02,2024-02-19,,高危,命令注入,QNAP Systems Photo Station是中国威联通科技（QNAP Systems）公司的一个线上相册。用于整理 Qnap Nas 上的多媒体内容（相片和影片）。 QNAP Photo Station 6.4.2 版本之前存在命令注入漏洞，该漏洞源于存在操作系统命令注入漏洞。该漏洞可能允许经过身份验证的用户通过网络执行命令。,CVE-2023-47562,
LedgerSMB 跨站请求伪造漏洞,CNNVD-202402-160,2024-02-02,2024-02-18,,高危,跨站请求伪造,LedgerSMB是一个免费的基于网络的复式记账系统，具有报价、订购、发票、项目、考勤卡、库存管理、运输等功能。 LedgerSMB存在安全漏洞。攻击者利用该漏洞可以升级权限。,CVE-2024-23831,
Vyper 缓冲区错误漏洞,CNNVD-202402-203,2024-02-02,2024-02-29,,低危,缓冲区错误,Vyper是EVM 的 Pythonic 智能合约语言。 Vyper存在缓冲区错误漏洞，该漏洞源于将输入缓冲区中的错误数据误认为是返回数据。,CVE-2024-24560,
Testimonial Page Manager 跨站脚本漏洞,CNNVD-202402-208,2024-02-02,2024-02-19,,中危,跨站脚本,Testimonial Page Manager是rems个人开发者的一个多功能 Web 应用程序，旨在简化展示客户反馈和推荐的过程。 Testimonial Page Manager 1.0版本存在跨站脚本漏洞，该漏洞源于文件add-testimonial.php的参数name/description/testimony会导致跨站脚本。,CVE-2024-1196,
多款QNAP Systems产品 操作系统命令注入漏洞,CNNVD-202402-184,2024-02-02,2024-02-07,,高危,授权问题,QNAP Systems QTS是中国威联通科技（QNAP Systems）公司的一个入门到中阶QNAP NAS 使用的操作系统。 QNAP 多款产品存在操作系统命令注入漏洞，该漏洞源于存在操作系统命令注入漏洞。该漏洞可能允许经过身份验证的管理员通过网络执行命令。以下产品及版本受到影响：QTS 5.1.4.2596 版本之前，QuTS hero h5.1.4.2596 版本之前，QuTScloud c5.1.5.2651 版本之前。,CVE-2023-41281,
OWASP AntiSamy 跨站脚本漏洞,CNNVD-202402-204,2024-02-02,2024-02-18,,中危,跨站脚本,OWASP AntiSamy是美国OWASP基金会的一个用于HTML和CSS编码的库。 OWASP AntiSamy 1.7.5之前版本存在跨站脚本漏洞，该漏洞源于 HTML 解析错误。,CVE-2024-23635,
ZOHO ManageEngine ADAudit Plus SQL注入漏洞,CNNVD-202402-101,2024-02-02,2024-02-19,,高危,SQL注入,ZOHO ManageEngine ADAudit Plus是美国卓豪（ZOHO）公司的用于简化审计、证明合规性和检测威胁。 ZOHO ManageEngine ADAudit Plus 7271 Build 之前版本存在SQL注入漏洞，该漏洞源于report export 选项中容易受到 SQL注入攻击。,CVE-2023-48792,
QNAP 多款产品SQL注入漏洞,CNNVD-202402-168,2024-02-02,2024-02-19,,高危,SQL注入,QNAP Systems QuTScloud等都是中国威联通科技（QNAP Systems）公司的产品。QNAP Systems QuTScloud是一种 QNAP NAS 操作系统的云端优化版本。QNAP Systems QTS是一个入门到中阶QNAP NAS 使用的操作系统。QNAP Systems QuTS hero是一个操作系统。 QNAP 多款产品存在SQL注入漏洞，该漏洞源于存在一个 SQL 注入漏洞。该漏洞可能允许经过身份验证的用户通过网络注入恶意代码。以下产品及版本受到影响：QTS 5.1.5.2645 版本之前，QTS 4.5.4.2627 版本之前，QuTS hero h5.1.5.2647 版本之前，QuTS hero h4.5.4.2626 版本之前，QuTScloud c5.1.5.2651 版本之前。,CVE-2023-47568,
