cve-id,published,modified,vulnStatus,descriptions,cvss3.1AV,cvss3.1AC,cvss3.1PR,cvss3.1UI,cvss3.1S,cvss3.1C,cvss3.1I,cvss3.1A,exploitabilityScore,impactScore,baseScore,baseSeverity,cwe-type
CVE-2018-25097,2024-01-02T16:15:11.100,2024-04-11T01:02:05.620,Modified,"A vulnerability, which was classified as problematic, was found in Acumos Design Studio up to 2.0.7. Affected is an unknown function. The manipulation leads to cross site scripting. It is possible to launch the attack remotely. Upgrading to version 2.0.8 is able to address this issue. The name of the patch is 0df8a5e8722188744973168648e4c74c69ce67fd. It is recommended to upgrade the affected component. The identifier of this vulnerability is VDB-249420.",NETWORK,LOW,NONE,REQUIRED,CHANGED,LOW,LOW,NONE,2.8,2.7,6.1,MEDIUM,CWE-79
CVE-2023-49142,2024-01-02T08:15:10.123,2024-01-05T22:03:59.797,Analyzed,"
in OpenHarmony v3.2.2 and prior versions allow a local attacker cause multimedia audio crash through modify a released pointer.",LOCAL,LOW,LOW,NONE,UNCHANGED,NONE,NONE,LOW,1.8,1.4,3.3,LOW,CWE-416
CVE-2023-48360,2024-01-02T08:15:09.707,2024-01-05T22:04:53.347,Analyzed,"
in OpenHarmony v3.2.2 and prior versions allow a local attacker cause multimedia player crash through modify a released pointer.",LOCAL,LOW,LOW,NONE,UNCHANGED,NONE,NONE,HIGH,1.8,3.6,5.5,MEDIUM,CWE-416
CVE-2015-10128,2024-01-02T14:15:07.810,2024-04-11T00:53:09.643,Modified,A vulnerability was found in rt-prettyphoto Plugin up to 1.2 on WordPress and classified as problematic. Affected by this issue is the function royal_prettyphoto_plugin_links of the file rt-prettyphoto.php. The manipulation leads to cross site scripting. The attack may be launched remotely. Upgrading to version 1.3 is able to address this issue. The patch is identified as 0d3d38cfa487481b66869e4212df1cefc281ecb7. It is recommended to upgrade the affected component. VDB-249422 is the identifier assigned to this vulnerability.,NETWORK,LOW,NONE,REQUIRED,CHANGED,LOW,LOW,NONE,2.8,2.7,6.1,MEDIUM,CWE-79
CVE-2024-0189,2024-01-02T18:15:08.037,2024-04-11T01:23:44.247,Modified,A vulnerability has been found in RRJ Nueva Ecija Engineer Online Portal 1.0 and classified as problematic. This vulnerability affects unknown code of the file teacher_message.php of the component Create Message Handler. The manipulation of the argument Content with the input </title><scRipt>alert(x)</scRipt> leads to cross site scripting. The attack can be initiated remotely. The exploit has been disclosed to the public and may be used. VDB-249502 is the identifier assigned to this vulnerability.,NETWORK,LOW,LOW,REQUIRED,CHANGED,LOW,LOW,NONE,2.3,2.7,5.4,MEDIUM,CWE-79
CVE-2024-21623,2024-01-02T21:15:10.250,2024-01-08T19:29:32.277,Analyzed,"OTCLient is an alternative tibia client for otserv. Prior to commit db560de0b56476c87a2f967466407939196dd254, the /mehah/otclient ""`Analysis - SonarCloud`"" workflow is vulnerable to an expression injection in Actions, allowing an attacker to run commands remotely on the runner, leak secrets, and alter the repository using this workflow. Commit db560de0b56476c87a2f967466407939196dd254 contains a fix for this issue.",NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,3.9,5.9,9.8,CRITICAL,CWE-74
CVE-2024-21627,2024-01-02T21:15:10.467,2024-01-08T19:23:49.707,Analyzed,"PrestaShop is an open-source e-commerce platform. Prior to versions 8.1.3 and 1.7.8.11, some event attributes are not detected by the `isCleanHTML` method. Some modules using the `isCleanHTML` method could be vulnerable to cross-site scripting. Versions 8.1.3 and 1.7.8.11 contain a patch for this issue. The best workaround is to use the `HTMLPurifier` library to sanitize html input coming from users. The library is already available as a dependency in the PrestaShop project. Beware though that in legacy object models, fields of `HTML` type will call `isCleanHTML`.",NETWORK,LOW,NONE,REQUIRED,CHANGED,LOW,LOW,NONE,2.8,2.7,6.1,MEDIUM,CWE-79
CVE-2024-0194,2024-01-02T21:15:09.760,2024-04-11T01:23:44.630,Modified,"A vulnerability, which was classified as critical, has been found in CodeAstro Internet Banking System up to 1.0. This issue affects some unknown processing of the file pages_account.php of the component Profile Picture Handler. The manipulation leads to unrestricted upload. The attack may be initiated remotely. The exploit has been disclosed to the public and may be used. The identifier VDB-249509 was assigned to this vulnerability.",NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,3.9,5.9,9.8,CRITICAL,CWE-434
CVE-2024-21632,2024-01-02T22:15:10.103,2024-01-09T17:45:20.110,Analyzed,"omniauth-microsoft_graph provides an Omniauth strategy for the Microsoft Graph API. Prior to versions 2.0.0, the implementation did not validate the legitimacy of the `email` attribute of the user nor did it give/document an option to do so, making it susceptible to nOAuth misconfiguration in cases when the `email` is used as a trusted user identifier. This could lead to account takeover. Version 2.0.0 contains a fix for this issue.
",NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,3.9,5.9,9.8,CRITICAL,CWE-287
CVE-2024-21628,2024-01-02T22:15:09.687,2024-01-08T19:11:25.070,Analyzed,"PrestaShop is an open-source e-commerce platform. Prior to version 8.1.3, the isCleanHtml method is not used on this this form, which makes it possible to store a cross-site scripting payload in the database. The impact is low because the HTML is not interpreted in BO, thanks to twig's escape mechanism. In FO, the cross-site scripting attack is effective, but only impacts the customer sending it, or the customer session from which it was sent. This issue affects those who have a module fetching these messages from the DB and displaying it without escaping HTML. Version 8.1.3 contains a patch for this issue.",NETWORK,LOW,NONE,REQUIRED,CHANGED,LOW,LOW,NONE,2.8,2.7,6.1,MEDIUM,CWE-79
CVE-2024-0192,2024-01-02T20:15:10.933,2024-04-11T01:23:44.520,Modified,A vulnerability was found in RRJ Nueva Ecija Engineer Online Portal 1.0. It has been declared as critical. Affected by this vulnerability is an unknown functionality of the file downloadable.php of the component Add Downloadable. The manipulation leads to unrestricted upload. The attack can be launched remotely. The exploit has been disclosed to the public and may be used. The identifier VDB-249505 was assigned to this vulnerability.,NETWORK,LOW,LOW,REQUIRED,CHANGED,LOW,LOW,NONE,2.3,2.7,5.4,MEDIUM,CWE-434
CVE-2017-20188,2024-01-02T15:15:08.377,2024-04-11T00:58:25.490,Modified,A vulnerability has been found in Zimbra zm-ajax up to 8.8.1 and classified as problematic. Affected by this vulnerability is the function XFormItem.prototype.setError of the file WebRoot/js/ajax/dwt/xforms/XFormItem.js. The manipulation of the argument message leads to cross site scripting. The attack can be launched remotely. The complexity of an attack is rather high. The exploitation appears to be difficult. Upgrading to version 8.8.2 is able to address this issue. The identifier of the patch is 8d039d6efe80780adc40c6f670c06d21de272105. It is recommended to upgrade the affected component. The identifier VDB-249421 was assigned to this vulnerability.,NETWORK,HIGH,NONE,REQUIRED,CHANGED,LOW,LOW,NONE,1.6,2.7,4.7,MEDIUM,CWE-79
CVE-2023-49135,2024-01-02T08:15:09.927,2024-01-05T22:04:16.437,Analyzed,"
in OpenHarmony v3.2.2 and prior versions allow a local attacker cause multimedia player crash through modify a released pointer.",LOCAL,LOW,LOW,NONE,UNCHANGED,NONE,NONE,HIGH,1.8,3.6,5.5,MEDIUM,CWE-416
CVE-2024-0186,2024-01-02T01:15:08.273,2024-04-11T01:23:44.040,Modified,A vulnerability classified as problematic has been found in HuiRan Host Reseller System up to 2.0.0. Affected is an unknown function of the file /user/index/findpass?do=4 of the component HTTP POST Request Handler. The manipulation leads to weak password recovery. It is possible to launch the attack remotely. The complexity of an attack is rather high. The exploitability is told to be difficult. The exploit has been disclosed to the public and may be used. The identifier of this vulnerability is VDB-249444.,NETWORK,HIGH,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,2.2,5.9,8.1,HIGH,CWE-640
CVE-2023-38677,2024-01-03T09:15:08.687,2024-01-05T12:14:35.590,Analyzed,"FPE in paddle.linalg.eig in PaddlePaddle before 2.6.0. This flaw can cause a runtime crash and a denial of service.



",NETWORK,LOW,NONE,NONE,UNCHANGED,NONE,NONE,HIGH,3.9,3.6,7.5,HIGH,CWE-369
CVE-2023-52311,2024-01-03T09:15:10.720,2024-01-05T12:14:59.153,Analyzed,"PaddlePaddle before 2.6.0 has a command injection in _wget_download. This resulted in the ability to execute arbitrary commands on the operating system.







",NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,3.9,5.9,9.8,CRITICAL,CWE-78
CVE-2023-52313,2024-01-03T09:15:11.083,2024-01-05T12:15:03.560,Analyzed,"FPE in paddle.argmin and paddle.argmax in PaddlePaddle before 2.6.0. This flaw can cause a runtime crash and a denial of service.



",NETWORK,LOW,NONE,NONE,UNCHANGED,NONE,NONE,HIGH,3.9,3.6,7.5,HIGH,CWE-369
CVE-2023-6747,2024-01-03T09:15:11.487,2024-01-30T14:15:47.380,Modified,"The Best WordPress Gallery Plugin – FooGallery plugin for WordPress is vulnerable to Stored Cross-Site Scripting via the custom attributes in all versions up to, and including, 2.3.3 due to insufficient input sanitization and output escaping. This makes it possible for contributors and above to inject arbitrary web scripts in pages that will execute whenever a user accesses an injected page.",NETWORK,LOW,LOW,REQUIRED,CHANGED,LOW,LOW,NONE,2.3,2.7,5.4,MEDIUM,CWE-79
CVE-2023-50345,2024-01-03T02:15:43.757,2024-01-09T19:50:11.817,Analyzed,"HCL DRYiCE MyXalytics is impacted by an Open Redirect vulnerability which could allow an attacker to redirect users to malicious sites, potentially leading to phishing attacks or other security threats.
",NETWORK,LOW,NONE,REQUIRED,CHANGED,LOW,LOW,NONE,2.8,2.7,6.1,MEDIUM,CWE-601
CVE-2023-38674,2024-01-03T09:15:08.107,2024-01-05T12:14:14.417,Analyzed,"FPE in paddle.nanmedian in PaddlePaddle before 2.6.0. This flaw can cause a runtime crash and a denial of service.



",NETWORK,LOW,NONE,NONE,UNCHANGED,NONE,NONE,HIGH,3.9,3.6,7.5,HIGH,CWE-369
CVE-2023-52304,2024-01-03T09:15:09.447,2024-01-05T12:14:43.940,Analyzed,"Stack overflow in paddle.searchsorted in PaddlePaddle before 2.6.0. This flaw can lead to a denial of service, or even more damage.



",NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,3.9,5.9,9.8,CRITICAL,CWE-787
CVE-2023-52309,2024-01-03T09:15:10.340,2024-01-05T12:14:54.590,Analyzed,"Heap buffer overflow in paddle.repeat_interleave in PaddlePaddle before 2.6.0. This flaw can lead to a denial of service, information disclosure, or more damage is possible.



",NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,3.9,5.9,9.8,CRITICAL,CWE-787
CVE-2023-52308,2024-01-03T09:15:10.170,2024-01-05T12:14:51.707,Analyzed,"FPE in paddle.amin in PaddlePaddle before 2.6.0. This flaw can cause a runtime crash and a denial of service.



",NETWORK,LOW,NONE,NONE,UNCHANGED,NONE,NONE,HIGH,3.9,3.6,7.5,HIGH,CWE-369
CVE-2023-6524,2024-01-03T06:15:47.120,2024-02-02T16:33:29.477,Analyzed,The MapPress Maps for WordPress plugin for WordPress is vulnerable to Stored Cross-Site Scripting via the map title parameter in all versions up to and including 2.88.13 due to insufficient input sanitization and output escaping. This makes it possible for authenticated attackers with contributor access or higher to inject arbitrary web scripts in pages that will execute whenever a user accesses an injected page.,NETWORK,LOW,LOW,REQUIRED,CHANGED,LOW,LOW,NONE,2.3,2.7,5.4,MEDIUM,CWE-79
CVE-2023-38675,2024-01-03T09:15:08.340,2024-01-05T12:14:31.273,Analyzed,"FPE in paddle.linalg.matrix_rank in PaddlePaddle before 2.6.0. This flaw can cause a runtime crash and a denial of service.



",NETWORK,LOW,NONE,NONE,UNCHANGED,NONE,NONE,HIGH,3.9,3.6,7.5,HIGH,CWE-369
CVE-2023-5881,2024-01-03T20:15:21.903,2024-01-10T20:26:45.550,Analyzed,"Unauthenticated access permitted to web interface page The Genie Company Aladdin Connect (Retrofit-Kit Model ALDCM) ""Garage Door Control Module Setup"" and modify the Garage door's SSID settings. 



",NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,LOW,NONE,3.9,4.2,8.2,HIGH,CWE-306
CVE-2023-41780,2024-01-03T02:15:43.403,2024-01-09T20:00:36.170,Analyzed,"There is an unsafe DLL loading vulnerability in ZTE ZXCLOUD iRAI. Due to the  program  failed to adequately validate the user's input, an attacker could exploit this vulnerability  to escalate local privileges.


",LOCAL,LOW,LOW,NONE,UNCHANGED,HIGH,HIGH,HIGH,1.8,5.9,7.8,HIGH,CWE-427
CVE-2023-52314,2024-01-03T09:15:11.267,2024-01-05T12:15:05.973,Analyzed,"PaddlePaddle before 2.6.0 has a command injection in convert_shape_compare. This resulted in the ability to execute arbitrary commands on the operating system.







",NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,3.9,5.9,9.8,CRITICAL,CWE-78
CVE-2023-38678,2024-01-03T09:15:08.877,2024-01-05T12:14:37.553,Analyzed,"OOB access in paddle.mode in PaddlePaddle before 2.6.0. This flaw can cause a runtime crash and a denial of service.



",NETWORK,LOW,NONE,NONE,UNCHANGED,NONE,NONE,HIGH,3.9,3.6,7.5,HIGH,CWE-125
CVE-2023-51784,2024-01-03T10:15:09.027,2024-01-09T19:19:59.413,Analyzed,"Improper Control of Generation of Code ('Code Injection') vulnerability in Apache InLong.This issue affects Apache InLong: from 1.5.0 through 1.9.0, which could lead to Remote Code Execution. Users are advised to upgrade to Apache InLong's 1.10.0 or cherry-pick [1] to solve it.

[1]  https://github.com/apache/inlong/pull/9329 

",NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,3.9,5.9,9.8,CRITICAL,CWE-94
CVE-2023-6540,2024-01-03T21:15:08.940,2024-01-10T20:23:28.493,Analyzed,A vulnerability was reported in the Lenovo Browser Mobile and Lenovo Browser HD Apps for Android that could allow an attacker to craft a payload that could result in the disclosure of sensitive information.,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,NONE,NONE,3.9,3.6,7.5,HIGH,NVD-CWE-noinfo
CVE-2023-38676,2024-01-03T09:15:08.517,2024-01-05T12:14:33.513,Analyzed,"Nullptr in paddle.dot in PaddlePaddle before 2.6.0. This flaw can cause a runtime crash and a denial of service.



",NETWORK,LOW,NONE,NONE,UNCHANGED,NONE,NONE,HIGH,3.9,3.6,7.5,HIGH,CWE-476
CVE-2023-45724,2024-01-03T03:15:09.537,2024-01-09T18:34:41.837,Analyzed,"HCL DRYiCE MyXalytics product is impacted by unauthenticated file upload vulnerability. The web application permits the upload of a certain file without requiring user authentication.
",NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,3.9,5.9,9.8,CRITICAL,CWE-434
CVE-2024-21911,2024-01-03T16:15:09.170,2024-01-08T19:46:14.513,Analyzed,TinyMCE versions before 5.6.0 are affected by a stored cross-site scripting vulnerability. An unauthenticated and remote attacker could insert crafted HTML into the editor resulting in arbitrary JavaScript execution in another user's browser.,NETWORK,LOW,NONE,REQUIRED,CHANGED,LOW,LOW,NONE,2.8,2.7,6.1,MEDIUM,CWE-79
CVE-2023-46742,2024-01-03T17:15:11.010,2024-01-10T17:53:48.967,Analyzed,"CubeFS is an open-source cloud-native file storage system. CubeFS prior to version 3.3.1 was found to leak users secret keys and access keys in the logs in multiple components. When CubeCS creates new users, it leaks the users secret key. This could allow a lower-privileged user with access to the logs to retrieve sensitive information and impersonate other users with higher privileges than themselves. The issue has been patched in v3.3.1. There is no other mitigation than upgrading CubeFS.",NETWORK,LOW,LOW,NONE,UNCHANGED,HIGH,NONE,NONE,2.8,3.6,6.5,MEDIUM,CWE-532
CVE-2023-51785,2024-01-03T10:15:09.130,2024-01-09T20:18:47.197,Analyzed,"Deserialization of Untrusted Data vulnerability in Apache InLong.This issue affects Apache InLong: from 1.7.0 through 1.9.0, the attackers can make a arbitrary file read attack using mysql driver. Users are advised to upgrade to Apache InLong's 1.10.0 or cherry-pick [1] to solve it.

[1]  https://github.com/apache/inlong/pull/9331 

",NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,NONE,NONE,3.9,3.6,7.5,HIGH,CWE-502
CVE-2023-50253,2024-01-03T17:15:11.387,2024-01-11T19:21:43.917,Analyzed,"Laf is a cloud development platform. In the Laf version design, the log uses communication with k8s to quickly retrieve logs from the container without the need for additional storage. However, in version 1.0.0-beta.13 and prior, this interface does not verify the permissions of the pod, which allows authenticated users to obtain any pod logs under the same namespace through this method, thereby obtaining sensitive information printed in the logs. As of time of publication, no known patched versions exist.",NETWORK,LOW,LOW,NONE,UNCHANGED,HIGH,NONE,NONE,2.8,3.6,6.5,MEDIUM,CWE-532
CVE-2023-46740,2024-01-03T17:15:10.590,2024-01-10T17:45:07.017,Analyzed,"CubeFS is an open-source cloud-native file storage system. Prior to version 3.3.1, CubeFS used an insecure random string generator to generate user-specific, sensitive keys used to authenticate users in a CubeFS deployment. This could allow an attacker to predict and/or guess the generated string and impersonate a user thereby obtaining higher privileges. When CubeFS creates new users, it creates a piece of sensitive information for the user called the “accessKey”. To create the ""accesKey"", CubeFS uses an insecure string generator which makes it easy to guess and thereby impersonate the created user. An attacker could leverage the predictable random string generator and guess a users access key and impersonate the user to obtain higher privileges. The issue has been fixed in v3.3.1. There is no other mitigation than to upgrade.",NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,3.9,5.9,9.8,CRITICAL,CWE-330
CVE-2023-41783,2024-01-03T02:15:43.573,2024-01-09T20:00:01.497,Analyzed,"There is a command injection vulnerability of ZTE's ZXCLOUD iRAI. Due to the  program  failed to adequately validate the user's input, an attacker could exploit this vulnerability  to escalate local privileges.


",LOCAL,LOW,LOW,NONE,UNCHANGED,HIGH,HIGH,HIGH,1.8,5.9,7.8,HIGH,CWE-94
CVE-2023-6621,2024-01-03T09:15:11.440,2024-01-09T18:47:39.187,Analyzed,"The POST SMTP WordPress plugin before 2.8.7 does not sanitise and escape the msg parameter before outputting it back in the page, leading to a Reflected Cross-Site Scripting which could be used against high privilege users such as admin.",NETWORK,LOW,NONE,REQUIRED,CHANGED,LOW,LOW,NONE,2.8,2.7,6.1,MEDIUM,CWE-79
CVE-2023-52306,2024-01-03T09:15:09.793,2024-01-05T12:14:47.657,Analyzed,"FPE in paddle.lerp in PaddlePaddle before 2.6.0. This flaw can cause a runtime crash and a denial of service.



",NETWORK,LOW,NONE,NONE,UNCHANGED,NONE,NONE,HIGH,3.9,3.6,7.5,HIGH,CWE-369
CVE-2023-6981,2024-01-03T06:15:47.663,2024-01-09T18:55:41.547,Analyzed,"The WP SMS – Messaging & SMS Notification for WordPress, WooCommerce, GravityForms, etc plugin for WordPress is vulnerable to SQL Injection via the 'group_id' parameter in all versions up to, and including, 6.5 due to insufficient escaping on the user supplied parameter and lack of sufficient preparation on the existing SQL query.  This makes it possible for authenticated attackers, with contributor-level access and above, to append additional SQL queries into already existing queries that can be used to extract sensitive information from the database. This can leveraged to achieve Reflected Cross-site Scripting.",NETWORK,LOW,HIGH,NONE,UNCHANGED,HIGH,NONE,NONE,1.2,3.6,4.9,MEDIUM,CWE-89
CVE-2023-6338,2024-01-03T21:15:08.547,2024-01-10T20:25:38.457,Analyzed,Uncontrolled search path vulnerabilities were reported in the Lenovo Universal Device Client (UDC) that could allow an attacker with local access to execute code with elevated privileges.,LOCAL,LOW,LOW,NONE,UNCHANGED,HIGH,HIGH,HIGH,1.8,5.9,7.8,HIGH,CWE-427
CVE-2023-52307,2024-01-03T09:15:09.970,2024-01-05T12:14:49.853,Analyzed,"Stack overflow in paddle.linalg.lu_unpack in PaddlePaddle before 2.6.0. This flaw can lead to a denial of service, or even more damage.



",NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,3.9,5.9,9.8,CRITICAL,CWE-787
CVE-2024-21631,2024-01-03T17:15:12.790,2024-01-10T18:40:48.587,Analyzed,"Vapor is an HTTP web framework for Swift. Prior to version 4.90.0, Vapor's `vapor_urlparser_parse` function uses `uint16_t` indexes when parsing a URI's components, which may cause integer overflows when parsing untrusted inputs. This vulnerability does not affect Vapor directly but could impact applications relying on the URI type for validating user input. The URI type is used in several places in Vapor. A developer may decide to use URI to represent a URL in their application (especially if that URL is then passed to the HTTP Client) and rely on its public properties and methods. However, URI may fail to properly parse a valid (albeit abnormally long) URL, due to string ranges being converted to 16-bit integers. An attacker may use this behavior to trick the application into accepting a URL to an untrusted destination. By padding the port number with zeros, an attacker can cause an integer overflow to occur when the URL authority is parsed and, as a result, spoof the host. Version 4.90.0 contains a patch for this issue. As a workaround, validate user input before parsing as a URI or, if possible, use Foundation's `URL` and `URLComponents` utilities.
",NETWORK,LOW,LOW,NONE,UNCHANGED,NONE,HIGH,NONE,2.8,3.6,6.5,MEDIUM,CWE-190
CVE-2023-52310,2024-01-03T09:15:10.520,2024-01-05T12:14:56.697,Analyzed,"PaddlePaddle before 2.6.0 has a command injection in get_online_pass_interval. This resulted in the ability to execute arbitrary commands on the operating system.







",NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,3.9,5.9,9.8,CRITICAL,CWE-78
CVE-2023-52305,2024-01-03T09:15:09.617,2024-01-05T12:14:45.727,Analyzed,"FPE in paddle.topk in PaddlePaddle before 2.6.0. This flaw can cause a runtime crash and a denial of service.



",NETWORK,LOW,NONE,NONE,UNCHANGED,NONE,NONE,HIGH,3.9,3.6,7.5,HIGH,CWE-369
CVE-2023-7027,2024-01-03T05:15:11.700,2024-02-02T16:30:28.857,Analyzed,"The POST SMTP Mailer – Email log, Delivery Failure Notifications and Best Mail SMTP for WordPress plugin for WordPress is vulnerable to Stored Cross-Site Scripting via the ‘device’ header in all versions up to, and including, 2.8.7 due to insufficient input sanitization and output escaping. This makes it possible for unauthenticated attackers to inject arbitrary web scripts in pages that will execute whenever a user accesses an injected page.",NETWORK,LOW,LOW,REQUIRED,CHANGED,LOW,LOW,NONE,2.3,2.7,5.4,MEDIUM,CWE-79
CVE-2023-45722,2024-01-03T03:15:09.200,2024-01-09T19:41:37.487,Analyzed,"HCL DRYiCE MyXalytics is impacted by path traversal arbitrary file read vulnerability because it uses external input to construct a pathname that is intended to identify a file or directory that is located underneath a restricted parent directory.  The product does not properly neutralize special elements within the pathname that can cause the pathname to resolve to a location that is outside of the restricted directory. Potential exploits can completely disrupt or take over the application.
",NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,3.9,5.9,9.8,CRITICAL,CWE-22
