name,vuln-id,published,modified,source,severity,vuln-type,vuln-descript,cve-id,vuln-solution
OpenHarmony 资源管理错误漏洞,CNNVD-202401-109,2024-01-02,2024-01-08,,低危,资源管理错误,OpenHarmony是中国开放原子开源基金会（OpenAtom Foundation）基金会的一种鸿蒙操作系统的开源项目。 OpenHarmony v3.2.2 版本及之前版本存在安全漏洞，该漏洞源于多媒体音频组件指针释放后重用。,CVE-2023-49142,
OpenHarmony 资源管理错误漏洞,CNNVD-202401-110,2024-01-02,2024-01-08,,中危,资源管理错误,OpenHarmony是中国开放原子开源基金会（OpenAtom Foundation）基金会的一种鸿蒙操作系统的开源项目。 OpenHarmony v3.2.2 版本及之前版本存在安全漏洞，该漏洞源于多媒体播放器组件指针释放后重用。,CVE-2023-48360,
WordPress Plugin rt-prettyphoto 跨站脚本漏洞,CNNVD-202401-056,2024-01-02,2024-01-15,,中危,跨站脚本,WordPress和WordPress plugin都是WordPress基金会的产品。WordPress是一套使用PHP语言开发的博客平台。该平台支持在PHP和MySQL的服务器上架设个人博客网站。WordPress plugin是一个应用插件。 WordPress Plugin rt-prettyphoto 1.2及之前版本存在跨站脚本漏洞，该漏洞源于文件rt-pretthipto.php的函数royal_prretthipto_plugin_links存在跨站脚本（XSS）漏洞。,CVE-2015-10128,
RRJ Nueva Ecija Engineer Online Portal 跨站脚本漏洞,CNNVD-202401-066,2024-01-02,2024-01-08,,中危,跨站脚本,RRJ Nueva Ecija Engineer Online Portal是新加披RRJ公司的一个工程师在线门户网站。 RRJ Nueva Ecija Engineer Online Portal 1.0版本存在跨站脚本漏洞，该漏洞源于文件teacher_message.php的参数Content会导致跨站脚本。,CVE-2024-0189,
OTCLient 注入漏洞,CNNVD-202401-091,2024-01-02,2024-01-15,,超危,注入,OTCLient是用 C++20 和 Lua 编写的 otserv 的替代 tibia 客户端，采用模块化系统制成，使用 lua 脚本实现游戏内界面和功能。 OTCLient存在注入漏洞。攻击者利用该漏洞在运行器上远程运行命令、泄露机密并使用此工作流程更改存储库。,CVE-2024-21623,
PrestaShop 输入验证错误漏洞,CNNVD-202401-088,2024-01-02,2024-01-15,,高危,输入验证错误,PrestaShop是美国PrestaShop公司的一套开源的电子商务解决方案。该方案提供多种支付方式、短消息提醒和商品图片缩放等功能。 PrestaShop 8.1.3之前版本存在输入验证错误漏洞，该漏洞源于“isCleanHTML”方法无法检测到某些事件属性。攻击者利用该漏洞执行跨站点脚本攻击。,CVE-2024-21627,
CodeAstro Internet Banking System 代码问题漏洞,CNNVD-202401-099,2024-01-02,2024-01-15,,超危,代码问题,CodeAstro Internet Banking System是CodeAstro公司的一个PHP网上银行系统。 CodeAstro Internet Banking System 1.0及之前版本存在代码问题漏洞，该漏洞源于组件Profile Picture Handler中的文件pages_account.php 存在未知处理，导致上传不受限制。,CVE-2024-0194,
Omniauth::MicrosoftGraph 授权问题漏洞,CNNVD-202401-075,2024-01-02,2024-01-10,,超危,授权问题,Omniauth::MicrosoftGraph是Peter Philips个人开发者的一个适用于 Microsoft Graph Api 的 Omniauth 策略。 Omniauth::MicrosoftGraph 2.0.0之前版本存在授权问题漏洞，该漏洞源于没有验证用户email属性的合法性，导致容易受到nOAuth错误配置的影响。,CVE-2024-21632,
PrestaShop 跨站脚本漏洞,CNNVD-202401-077,2024-01-02,2024-01-15,,中危,跨站脚本,PrestaShop是美国PrestaShop公司的一套开源的电子商务解决方案。该方案提供多种支付方式、短消息提醒和商品图片缩放等功能。 PrestaShop 8.1.3之前版本存在跨站脚本漏洞，该漏洞源于不使用 isCleanHtml 方法，导致在数据库中可以存储跨站点脚本载荷。,CVE-2024-21628,
RRJ Nueva Ecija Engineer Online Portal 代码问题漏洞,CNNVD-202401-067,2024-01-02,2024-01-08,,中危,代码问题,RRJ Nueva Ecija Engineer Online Portal是新加披RRJ公司的一个工程师在线门户网站。 RRJ Nueva Ecija Engineer Online Portal 1.0版本存在代码问题漏洞，该漏洞源于文件downloadable.php会导致上传不受限制。,CVE-2024-0192,
Zimbra 跨站脚本漏洞,CNNVD-202401-062,2024-01-02,2024-01-15,,中危,跨站脚本,Synacor Zimbra是美国Synacor公司的一套开源的电子邮件协作平台。 Zimbra zm-ajax 8.8.1及之前版本存在跨站脚本漏洞，该漏洞源于文件WebRoot/js/ajax/dw/xforms/XFormItem.js的函数XFormItem.prototype.setError存在跨站脚本（XSS）漏洞。,CVE-2017-20188,
OpenHarmony 资源管理错误漏洞,CNNVD-202401-107,2024-01-02,2024-01-08,,中危,资源管理错误,OpenHarmony是中国开放原子开源基金会（OpenAtom Foundation）基金会的一种鸿蒙操作系统的开源项目。 OpenHarmony v3.2.2 版本及之前版本存在安全漏洞，该漏洞源于多媒体播放器组件指针释放后重用。,CVE-2023-49135,
HuiRan Host Reseller System 授权问题漏洞,CNNVD-202401-035,2024-01-02,2024-01-08,,低危,授权问题,HuiRan Host Reseller System是HuiRan公司的一个主机经销商系统。 HuiRan Host Reseller System 2.0.0及之前版本存在授权问题漏洞，该漏洞源于文件/user/index/findpass?do=4会导致弱密码恢复。,CVE-2024-0186,
PaddlePaddle 数字错误漏洞,CNNVD-202401-166,2024-01-03,2024-01-08,,高危,数字错误,PaddlePaddle（飞桨）是中国飞桨（PaddlePaddle）开源的一个独立的研发深度学习平台。 PaddlePaddle 2.6.0 版本之前存在安全漏洞，该漏洞源于可能会导致运行时崩溃和拒绝服务。,CVE-2023-38677,
PaddlePaddle 操作系统命令注入漏洞,CNNVD-202401-154,2024-01-03,2024-01-08,,超危,授权问题,PaddlePaddle（飞桨）是中国飞桨（PaddlePaddle）开源的一个独立的研发深度学习平台。 PaddlePaddle 2.6.0 版本之前存在安全漏洞，该漏洞源于可能导致远程代码执行漏洞。,CVE-2023-52311,
PaddlePaddle 数字错误漏洞,CNNVD-202401-153,2024-01-03,2024-01-08,,高危,数字错误,PaddlePaddle（飞桨）是中国飞桨（PaddlePaddle）开源的一个独立的研发深度学习平台。 PaddlePaddle 2.6.0 版本之前存在安全漏洞，该漏洞源于可能会导致运行时崩溃和拒绝服务。,CVE-2023-52313,
WordPress Plugin FooGallery Premium 跨站脚本漏洞,CNNVD-202401-150,2024-01-03,2024-01-15,,中危,跨站脚本,WordPress和WordPress plugin都是WordPress基金会的产品。WordPress是一套使用PHP语言开发的博客平台。该平台支持在PHP和MySQL的服务器上架设个人博客网站。WordPress plugin是一个应用插件。 WordPress Plugin FooGallery Premium 2.3.3及之前版本存在跨站脚本漏洞，该漏洞源于对输入清理和输出转义不足，攻击者利用该漏洞可以将恶意脚本注入web网站。,CVE-2023-6747,
HCL Technologies DRYiCE MyXalytics 输入验证错误漏洞,CNNVD-202401-140,2024-01-03,2024-01-10,,中危,输入验证错误,HCL Technologies DRYiCE MyXalytics是美国HCL Technologies公司的一款统一的报告和仪表板产品。 HCL Technologies DRYiCE MyXalytics 存在安全漏洞。攻击者利用该漏洞可以将用户重定向到恶意网站，从而可能导致网络钓鱼攻击或其他安全威胁。,CVE-2023-50345,
PaddlePaddle 数字错误漏洞,CNNVD-202401-170,2024-01-03,2024-01-08,,高危,数字错误,PaddlePaddle（飞桨）是中国飞桨（PaddlePaddle）开源的一个独立的研发深度学习平台。 PaddlePaddle 2.6.0 版本之前存在安全漏洞，该漏洞源于可能会导致运行时崩溃和拒绝服务。,CVE-2023-38674,
PaddlePaddle 缓冲区错误漏洞,CNNVD-202401-161,2024-01-03,2024-01-08,,超危,缓冲区错误,PaddlePaddle（飞桨）是中国飞桨（PaddlePaddle）开源的一个独立的研发深度学习平台。 PaddlePaddle 2.6.0 版本之前存在安全漏洞，该漏洞源于可能会导致拒绝服务，甚至更大的损坏。,CVE-2023-52304,
PaddlePaddle 缓冲区错误漏洞,CNNVD-202401-157,2024-01-03,2024-01-08,,超危,缓冲区错误,PaddlePaddle（飞桨）是中国飞桨（PaddlePaddle）开源的一个独立的研发深度学习平台。 PaddlePaddle 2.6.0 版本之前存在安全漏洞，该漏洞源于可能导致拒绝服务、信息泄露或可能造成更多损害。,CVE-2023-52309,
PaddlePaddle 数字错误漏洞,CNNVD-202401-159,2024-01-03,2024-01-08,,高危,数字错误,PaddlePaddle（飞桨）是中国飞桨（PaddlePaddle）开源的一个独立的研发深度学习平台。 PaddlePaddle 2.6.0 版本之前存在安全漏洞，该漏洞源于可能会导致运行时崩溃和拒绝服务。,CVE-2023-52308,
WordPress Plugin MapPress Maps for WordPress 跨站脚本漏洞,CNNVD-202401-182,2024-01-03,2024-01-08,,中危,跨站脚本,WordPress和WordPress plugin都是WordPress基金会的产品。WordPress是一套使用PHP语言开发的博客平台。该平台支持在PHP和MySQL的服务器上架设个人博客网站。WordPress plugin是一个应用插件。 WordPress Plugin MapPress Maps for WordPress 2.88.13及之前版本存在跨站脚本漏洞，该漏洞源于对输入清理和输出转义不足，攻击者利用该漏洞可以将恶意脚本注入web网站。,CVE-2023-6524,
PaddlePaddle 数字错误漏洞,CNNVD-202401-169,2024-01-03,2024-01-08,,高危,数字错误,PaddlePaddle（飞桨）是中国飞桨（PaddlePaddle）开源的一个独立的研发深度学习平台。 PaddlePaddle 2.6.0 版本之前存在安全漏洞，该漏洞源于可能会导致运行时崩溃和拒绝服务。,CVE-2023-38675,
Genie Aladdin Connect 访问控制错误漏洞,CNNVD-202401-204,2024-01-03,2024-01-11,,高危,授权问题,Genie Aladdin Connect是Genie公司的一个车库门控制器。 Genie Aladdin Connect (Retrofit-Kit Model ALDCM)存在访问控制错误漏洞，该漏洞源于允许未经身份验证的攻击者访问Garage Door Control Module Setup页面的SSID设置。,CVE-2023-5881,
ZTE ZXCLOUD iRAI 代码问题漏洞,CNNVD-202401-142,2024-01-03,2024-01-10,,高危,代码问题,ZTE ZXCLOUD iRAI是中国中兴通讯（ZTE）公司的一个虚拟化设备。 ZTE ZXCLOUD iRAI 7.23.23版本及之前版本存在安全漏洞，该漏洞源于程序无法充分验证用户的输入。攻击者利用该漏洞可以提升权限。,CVE-2023-41780,
PaddlePaddle 操作系统命令注入漏洞,CNNVD-202401-152,2024-01-03,2024-01-08,,超危,授权问题,PaddlePaddle（飞桨）是中国飞桨（PaddlePaddle）开源的一个独立的研发深度学习平台。 PaddlePaddle 2.6.0 版本之前存在安全漏洞，该漏洞源于可能导致远程代码执行漏洞。,CVE-2023-52314,
PaddlePaddle 缓冲区错误漏洞,CNNVD-202401-165,2024-01-03,2024-01-08,,高危,缓冲区错误,PaddlePaddle（飞桨）是中国飞桨（PaddlePaddle）开源的一个独立的研发深度学习平台。 PaddlePaddle 2.6.0 版本之前存在安全漏洞，该漏洞源于可能会导致运行时崩溃和拒绝服务。,CVE-2023-38678,
Apache InLong 代码注入漏洞,CNNVD-202401-149,2024-01-03,2024-01-10,,超危,代码注入,Apache InLong是美国阿帕奇（Apache）基金会的一站式的海量数据集成框架。提供自动化、安全、可靠的数据传输能力。 Apache InLong 1.5.0到1.9.0版本存在代码注入漏洞，该漏洞源于存在代码注入漏洞。攻击者可利用该漏洞执行远程代码。,CVE-2023-51784,
Lenovo Browser 代码注入漏洞,CNNVD-202401-209,2024-01-03,2024-01-08,,中危,代码注入,Lenovo Browser是中国联想（Lenovo）公司的一款浏览器。用于定位、检索和显示万维网上的内容。 Lenovo Browser Mobile V9.1.3.1及之前版本、Lenovo Browser HD Apps for Android V2.1.4.1及之前版本存在代码注入漏洞，攻击者利用该漏洞可以通过Payload导致敏感信息泄露。,CVE-2023-6540,
PaddlePaddle 代码问题漏洞,CNNVD-202401-167,2024-01-03,2024-01-08,,高危,代码问题,PaddlePaddle（飞桨）是中国飞桨（PaddlePaddle）开源的一个独立的研发深度学习平台。 PaddlePaddle 2.6.0 版本之前存在安全漏洞，该漏洞源于可能会导致运行时崩溃和拒绝服务。,CVE-2023-38676,
HCL Technologies DRYiCE MyXalytics 代码问题漏洞,CNNVD-202401-131,2024-01-03,2024-01-10,,超危,代码问题,HCL Technologies DRYiCE MyXalytics是美国HCL Technologies公司的一款统一的报告和仪表板产品。 HCL Technologies DRYiCE MyXalytics 存在安全漏洞，该漏洞源于 Web 应用程序允许上传特定文件，而无需用户身份验证。,CVE-2023-45724,
Tiny Technologies TinyMCE 跨站脚本漏洞,CNNVD-202401-186,2024-01-03,2024-01-08,,中危,跨站脚本,Tiny Technologies TinyMCE是美国Tiny Technologies公司的一款富文本编辑器。 Tiny Technologies TinyMCE 5.6.0 之前版本存在跨站脚本漏洞，该漏洞源于允许远程攻击者将精心设计的 HTML 插入编辑器，从而导致在另一个用户的浏览器中执行任意 JavaScript。,CVE-2024-21911,
CubeFS 日志信息泄露漏洞,CNNVD-202401-201,2024-01-03,2024-01-15,,中危,日志信息泄露,CubeFS是CubeFS个人开发者的一种云原生文件存储。 CubeFS 3.3.1之前版本存在日志信息泄露漏洞，该漏洞源于在日志中泄露用户密钥和访问密钥。,CVE-2023-46742,
Apache InLong 代码问题漏洞,CNNVD-202401-146,2024-01-03,2024-01-10,,高危,代码问题,Apache InLong是美国阿帕奇（Apache）基金会的一站式的海量数据集成框架。提供自动化、安全、可靠的数据传输能力。 Apache InLong 1.7.0到1.9.0版本存在代码问题漏洞，该漏洞源于存在反序列化漏洞。攻击者可利用该漏洞使用mysql驱动程序进行任意文件读取。,CVE-2023-51785,
Laf 信息泄露漏洞,CNNVD-202401-199,2024-01-03,2024-01-15,,中危,信息泄露,Laf是labring实验室的一个云开发平台。 Laf 1.0.0-beta.13及之前版本存在信息泄露漏洞，该漏洞源于允许经过身份验证的攻击者获取同一命名空间下的Pod日志中的敏感信息。,CVE-2023-50253,
CubeFS 安全特征问题漏洞,CNNVD-202401-202,2024-01-03,2024-01-31,,超危,授权问题,CubeFS是CubeFS个人开发者的一种云原生文件存储。 CubeFS 3.3.1之前版本存在安全特征问题漏洞，该漏洞源于使用不安全的随机字符串生成器来生成用户特定的敏感密钥。攻击者利用该漏洞可以升级权限。,CVE-2023-46740,
ZTE ZXCLOUD iRAI 代码注入漏洞,CNNVD-202401-141,2024-01-03,2024-01-10,,高危,代码注入,ZTE ZXCLOUD iRAI是中国中兴通讯（ZTE）公司的一个虚拟化设备。 ZTE ZXCLOUD iRAI 7.22.11P2版本及之前版本存在安全漏洞，该漏洞源于程序无法充分验证用户的输入。攻击者利用该漏洞可以提升权限。,CVE-2023-41783,
WordPress Plugin Post SMTP 跨站脚本漏洞,CNNVD-202401-151,2024-01-03,2024-01-15,,中危,跨站脚本,WordPress和WordPress plugin都是WordPress基金会的产品。WordPress是一套使用PHP语言开发的博客平台。该平台支持在PHP和MySQL的服务器上架设个人博客网站。WordPress plugin是一个应用插件。 WordPress Plugin Post SMTP 2.8.7 之前版本存在跨站脚本漏洞，该漏洞源于在将 msg 参数输出回页面之前不会对其进行清理和转义，导致跨站脚本。,CVE-2023-6621,
PaddlePaddle 数字错误漏洞,CNNVD-202401-160,2024-01-03,2024-01-08,,高危,数字错误,PaddlePaddle（飞桨）是中国飞桨（PaddlePaddle）开源的一个独立的研发深度学习平台。 PaddlePaddle 2.6.0 版本之前存在安全漏洞，该漏洞源于可能会导致运行时崩溃和拒绝服务。,CVE-2023-52306,
WordPress Plugin WP SMS SQL注入漏洞,CNNVD-202401-179,2024-01-03,2024-01-15,,中危,SQL注入,WordPress和WordPress plugin都是WordPress基金会的产品。WordPress是一套使用PHP语言开发的博客平台。该平台支持在PHP和MySQL的服务器上架设个人博客网站。WordPress plugin是一个应用插件。 WordPress Plugin WP SMS 6.5及之前版本存在SQL注入漏洞，该漏洞源于对用户提供的参数转义不足，容易通过 group_id参数受到 SQL 注入攻击。,CVE-2023-6981,
Lenovo Universal Device Client 代码问题漏洞,CNNVD-202401-211,2024-01-03,2024-01-04,,高危,代码问题,Lenovo Universal Device Client是中国联想（Lenovo）公司的一个通用设备客户端。 Lenovo Universal Device Client存在代码问题漏洞，该漏洞源于允许具有本地访问权限的攻击者提升权限并执行代码。,CVE-2023-6338,
PaddlePaddle 缓冲区错误漏洞,CNNVD-202401-158,2024-01-03,2024-01-08,,超危,缓冲区错误,PaddlePaddle（飞桨）是中国飞桨（PaddlePaddle）开源的一个独立的研发深度学习平台。 PaddlePaddle 2.6.0 版本之前存在安全漏洞，该漏洞源于可能会导致拒绝服务，甚至更大的损坏。,CVE-2023-52307,
Vapor 输入验证错误漏洞,CNNVD-202401-196,2024-01-03,2024-01-11,,中危,输入验证错误,Vapor是vapor个人开发者的一个 Swift 的 Web 开发框架。可用于开发高性能的Web应用，支持 iOS、OS X 和 Ubuntu 系统。 Vapor 4.90.0 之前版本存在安全漏洞，该漏洞源于 vapor_urlparser_parse函数在解析 URI 的组件时使用 uint16_t索引，这可能导致整数溢出。,CVE-2024-21631,
PaddlePaddle 操作系统命令注入漏洞,CNNVD-202401-156,2024-01-03,2024-01-08,,超危,授权问题,PaddlePaddle（飞桨）是中国飞桨（PaddlePaddle）开源的一个独立的研发深度学习平台。 PaddlePaddle 2.6.0 版本之前存在安全漏洞，该漏洞源于可能导致远程代码执行漏洞。,CVE-2023-52310,
PaddlePaddle 数字错误漏洞,CNNVD-202401-162,2024-01-03,2024-01-08,,高危,数字错误,PaddlePaddle（飞桨）是中国飞桨（PaddlePaddle）开源的一个独立的研发深度学习平台。 PaddlePaddle 2.6.0 版本之前存在安全漏洞，该漏洞源于可能会导致运行时崩溃和拒绝服务。,CVE-2023-52305,
WordPress Plugin POST SMTP Mailer 跨站脚本漏洞,CNNVD-202401-123,2024-01-03,2024-01-19,,高危,跨站脚本,WordPress和WordPress plugin都是WordPress基金会的产品。WordPress是一套使用PHP语言开发的博客平台。该平台支持在PHP和MySQL的服务器上架设个人博客网站。WordPress plugin是一个应用插件。 WordPress Plugin POST SMTP Mailer 存在安全漏洞，该漏洞源于没有对用户输入进行有效的清理和转义。,CVE-2023-7027,
HCL Technologies DRYiCE MyXalytics 路径遍历漏洞,CNNVD-202401-134,2024-01-03,2024-01-10,,超危,路径遍历,HCL Technologies DRYiCE MyXalytics是美国HCL Technologies公司的一款统一的报告和仪表板产品。 HCL Technologies DRYiCE MyXalytics 存在安全漏洞，该漏洞源于无法正确中和路径名中的特殊元素，这些元素可能导致路径名解析为受限目录之外的位置。,CVE-2023-45722,
Genie Aladdin Connect garage door opener 跨站脚本漏洞,CNNVD-202401-205,2024-01-03,2024-01-12,,高危,跨站脚本,Genie Aladdin Connect garage door opener是Genie公司的一款车库门开启器。 Genie Aladdin Connect garage door opener (Retrofit-Kit Model ALDCM)存在安全漏洞，该漏洞源于Garage Door Control Module Setup页面存在跨站脚本（XSS）漏洞。,CVE-2023-5880,
WordPress Plugin WP SMS 跨站请求伪造漏洞,CNNVD-202401-180,2024-01-03,2024-01-15,,中危,跨站请求伪造,WordPress和WordPress plugin都是WordPress基金会的产品。WordPress是一套使用PHP语言开发的博客平台。该平台支持在PHP和MySQL的服务器上架设个人博客网站。WordPress plugin是一个应用插件。 WordPress Plugin WP SMS 6.5及之前版本存在跨站请求伪造漏洞，该漏洞源于 wp-sms-subscribers 页面上的 delete 功能存在操作缺少或不正确的随机数验证，攻击者利用该漏洞可以通过伪造的请求删除订阅者。,CVE-2023-6980,
Froxlor 输入验证错误漏洞,CNNVD-202401-214,2024-01-03,2024-01-11,,高危,输入验证错误,Froxlor是Froxlor团队的一套轻量级服务器管理软件。 Froxlor 2.1.2之前版本存在输入验证错误漏洞，该漏洞源于允许攻击者通过将注册表的基本字段置空来绕过系统限制。,CVE-2023-50256,
PaddlePaddle 代码问题漏洞,CNNVD-202401-164,2024-01-03,2024-01-08,,高危,代码问题,PaddlePaddle（飞桨）是中国飞桨（PaddlePaddle）开源的一个独立的研发深度学习平台。 PaddlePaddle 2.6.0 版本之前存在安全漏洞，该漏洞源于可能会导致运行时崩溃和拒绝服务。,CVE-2023-52302,
Apktool 路径遍历漏洞,CNNVD-202401-195,2024-01-03,2024-01-08,,高危,路径遍历,Apktool是一款对Android APK文件进行逆向工程的工具。 Apktool 2.9.1及之前版本存在路径遍历漏洞，该漏洞源于Apktool可以根据资源名称推断资源文件的输出路径，攻击者利用该漏洞可以将文件放置在 Apktool 系统上的所需位置。,CVE-2024-21633,
PaddlePaddle 代码问题漏洞,CNNVD-202401-155,2024-01-03,2024-01-08,,高危,代码问题,PaddlePaddle（飞桨）是中国飞桨（PaddlePaddle）开源的一个独立的研发深度学习平台。 PaddlePaddle 2.6.0 版本之前存在安全漏洞，该漏洞源于可能会导致运行时崩溃和拒绝服务。,CVE-2023-52312,
Tiny Technologies TinyMCE 跨站脚本漏洞,CNNVD-202401-188,2024-01-03,2024-01-09,,中危,跨站脚本,Tiny Technologies TinyMCE是美国Tiny Technologies公司的一款富文本编辑器。 TinyMCE 5.10.0 之前版本存在跨站脚本漏洞，该漏洞源于允许攻击者在用特制 URL 更新图像或链接时执行任意 JavaScript。,CVE-2024-21910,
PaddlePaddle 代码问题漏洞,CNNVD-202401-163,2024-01-03,2024-01-08,,高危,代码问题,PaddlePaddle（飞桨）是中国飞桨（PaddlePaddle）开源的一个独立的研发深度学习平台。 PaddlePaddle 2.6.0 版本之前存在安全漏洞，该漏洞源于可能会导致运行时崩溃和拒绝服务。,CVE-2023-52303,
HCL Technologies DRYiCE MyXalytics 路径遍历漏洞,CNNVD-202401-135,2024-01-03,2024-01-10,,超危,路径遍历,HCL Technologies DRYiCE MyXalytics是美国HCL Technologies公司的一款统一的报告和仪表板产品。 HCL Technologies DRYiCE MyXalytics 存在安全漏洞，该漏洞源于某些端点允许用户操纵这些文件在服务器上存储的路径（包括文件名）。,CVE-2023-45723,
Tiny Technologies TinyMCE 跨站脚本漏洞,CNNVD-202401-190,2024-01-03,2024-01-09,,中危,跨站脚本,Tiny Technologies TinyMCE是美国Tiny Technologies公司的一款富文本编辑器。 Tiny Technologies TinyMCE 5.9.0 之前版本存在跨站脚本漏洞，该漏洞源于经身份验证的远程攻击者可以将精心设计的 HTML 插入编辑器，从而导致在用户的浏览器中执行任意 JavaScript。,CVE-2024-21908,
HCL Technologies DRYiCE MyXalytics 加密问题漏洞,CNNVD-202401-137,2024-01-03,2024-01-10,,高危,加密问题,HCL Technologies DRYiCE MyXalytics是美国HCL Technologies公司的一款统一的报告和仪表板产品。 HCL Technologies DRYiCE MyXalytics 存在安全漏洞，该漏洞源于受到使用损坏的加密算法进行加密的影响，可能使攻击者能够解密敏感信息。,CVE-2023-50350,
Kashipara Billing Software SQL注入漏洞,CNNVD-202401-267,2024-01-04,2024-01-05,,超危,SQL注入,Kashipara Billing Software是印度Kashipara公司的一款应用程序。 Kashipara Billing Software v1.0 版本存在SQL注入漏洞，该漏洞源于在处理 party_submit.php 页面的 bank_details 参数时没有经过过滤就将数据发送到数据库进行处理。,CVE-2023-49658,
Kashipara Billing Software SQL注入漏洞,CNNVD-202401-264,2024-01-04,2024-01-05,,超危,SQL注入,Kashipara Billing Software是印度Kashipara公司的一款应用程序。 Kashipara Billing Software v1.0 版本存在SQL注入漏洞，该漏洞源于在处理 submit_delivery_list.php 页面的 quantity[] 参数时没有经过过滤就将数据发送到数据库进行处理。,CVE-2023-49665,
Tech Docs Template 跨站脚本漏洞,CNNVD-202401-285,2024-01-04,2024-01-12,,中危,跨站脚本,Tech Docs Template是Government Digital Service开源的一个 Gem 分发技术文档项目。 Tech Docs Template 2.0.2至3.3.1之前版本存在安全漏洞，该漏洞源于存在跨站脚本（XSS）漏洞。攻击者可利用该漏洞在用户浏览器执行恶意JavaScript代码。,CVE-2024-22048,
