cve-id,published,modified,vulnStatus,descriptions,cvss3.1AV,cvss3.1AC,cvss3.1PR,cvss3.1UI,cvss3.1S,cvss3.1C,cvss3.1I,cvss3.1A,exploitabilityScore,impactScore,baseScore,baseSeverity,cwe-type
CVE-2024-24756,2024-02-01T23:15:11.210,2024-02-09T19:47:10.213,Analyzed,"Crafatar serves Minecraft avatars based on the skin for use in external applications. Files outside of the `lib/public/` directory can be requested from the server. Instances running behind Cloudflare (including crafatar.com) are not affected. Instances using the Docker container as shown in the README are affected, but only files within the container can be read. By default, all of the files within the container can also be found in this repository and are not confidential. This vulnerability is patched in 2.1.5.",NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,NONE,NONE,3.9,3.6,7.5,HIGH,CWE-22
CVE-2024-24755,2024-02-01T22:15:55.900,2024-02-09T19:47:59.967,Analyzed,"discourse-group-membership-ip-block is a discourse plugin that adds support for adding users to groups based on their IP address. discourse-group-membership-ip-block was sending all group custom fields to the client, including group custom fields from other plugins which may expect their custom fields to remain secret.",NETWORK,LOW,NONE,NONE,UNCHANGED,LOW,NONE,NONE,3.9,1.4,5.3,MEDIUM,NVD-CWE-noinfo
CVE-2023-52195,2024-02-01T10:15:11.207,2024-02-06T17:29:48.320,Analyzed,"Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting') vulnerability in Posts to Page Kerry James allows Stored XSS.This issue affects Kerry James: from n/a through 1.7.

",NETWORK,LOW,LOW,REQUIRED,CHANGED,LOW,LOW,NONE,2.3,2.7,5.4,MEDIUM,CWE-79
CVE-2023-51520,2024-02-01T12:15:54.100,2024-02-06T20:20:11.330,Analyzed,"Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting') vulnerability in WPdevelop / Oplugins WP Booking Calendar allows Stored XSS.This issue affects WP Booking Calendar: from n/a before 9.7.4.

",NETWORK,LOW,LOW,REQUIRED,CHANGED,LOW,LOW,NONE,2.3,2.7,5.4,MEDIUM,CWE-79
CVE-2023-51514,2024-02-01T12:15:53.917,2024-02-06T01:02:10.990,Analyzed,"Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting') vulnerability in Codeboxr Team CBX Bookmark & Favorite allows Stored XSS.This issue affects CBX Bookmark & Favorite: from n/a through 1.7.13.

",NETWORK,LOW,LOW,REQUIRED,CHANGED,LOW,LOW,NONE,2.3,2.7,5.4,MEDIUM,CWE-79
CVE-2024-23032,2024-02-01T23:15:11.067,2024-02-02T16:15:50.530,Analyzed,Cross Site Scripting vulnerability in num parameter in eyoucms v.1.6.5 allows a remote attacker to run arbitrary code via crafted URL.,NETWORK,LOW,NONE,REQUIRED,CHANGED,LOW,LOW,NONE,2.8,2.7,6.1,MEDIUM,CWE-79
CVE-2024-22859,2024-02-01T07:15:08.793,2024-02-11T00:15:07.770,Modified,"Cross-Site Request Forgery (CSRF) vulnerability in livewire before v3.0.4, allows remote attackers to execute arbitrary code getCsrfToken function. NOTE: the vendor disputes this because the 5d88731 commit fixes a usability problem (HTTP 419 status codes for legitimate client activity), not a security problem.",NETWORK,LOW,NONE,REQUIRED,UNCHANGED,HIGH,HIGH,HIGH,2.8,5.9,8.8,HIGH,CWE-352
CVE-2023-51684,2024-02-01T11:15:11.260,2024-02-06T01:03:20.777,Analyzed,"Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting') vulnerability in Easy Digital Downloads Easy Digital Downloads – Sell Digital Files (eCommerce Store & Payments Made Easy) allows Stored XSS.This issue affects Easy Digital Downloads – Sell Digital Files (eCommerce Store & Payments Made Easy): from n/a through 3.2.5.

",NETWORK,LOW,LOW,REQUIRED,CHANGED,LOW,LOW,NONE,2.3,2.7,5.4,MEDIUM,CWE-79
CVE-2023-38263,2024-02-02T04:15:08.360,2024-02-09T18:50:58.027,Analyzed,IBM SOAR QRadar Plugin App 1.0 through 5.0.3 could allow an authenticated user to perform unauthorized actions due to improper access controls.  IBM X-Force ID:  260577.,NETWORK,LOW,LOW,NONE,UNCHANGED,HIGH,HIGH,HIGH,2.8,5.9,8.8,HIGH,CWE-284
CVE-2023-52175,2024-02-01T10:15:08.580,2024-02-06T20:46:18.473,Analyzed,"Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting') vulnerability in Michael Uno (miunosoft) Auto Amazon Links – Amazon Associates Affiliate Plugin allows Stored XSS.This issue affects Auto Amazon Links – Amazon Associates Affiliate Plugin: from n/a through 5.1.1.

",NETWORK,LOW,LOW,REQUIRED,CHANGED,LOW,LOW,NONE,2.3,2.7,5.4,MEDIUM,CWE-79
CVE-2023-50939,2024-02-02T00:15:54.540,2024-02-02T16:14:59.477,Analyzed,"IBM PowerSC 1.3, 2.0, and 2.1 uses weaker than expected cryptographic algorithms that could allow an attacker to decrypt highly sensitive information.  IBM X-Force ID:  275129.",NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,NONE,NONE,3.9,3.6,7.5,HIGH,CWE-327
CVE-2024-21750,2024-02-01T10:15:11.880,2024-02-03T00:41:15.460,Analyzed,"Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting') vulnerability in Scribit Shortcodes Finder allows Reflected XSS.This issue affects Shortcodes Finder: from n/a through 1.5.5.

",NETWORK,LOW,NONE,REQUIRED,CHANGED,LOW,LOW,NONE,2.8,2.7,6.1,MEDIUM,CWE-79
CVE-2024-22449,2024-02-01T10:15:12.890,2024-02-03T00:30:30.737,Analyzed,"
Dell PowerScale OneFS versions 9.0.0.x through 9.6.0.x contains a missing authentication for critical function vulnerability. A low privileged local malicious user could potentially exploit this vulnerability to gain elevated access.

",LOCAL,LOW,LOW,NONE,UNCHANGED,HIGH,HIGH,HIGH,1.8,5.9,7.8,HIGH,CWE-306
CVE-2023-51689,2024-02-01T11:15:11.760,2024-02-06T01:03:10.150,Analyzed,"Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting') vulnerability in naa986 Easy Video Player allows Stored XSS.This issue affects Easy Video Player: from n/a through 1.2.2.10.

",NETWORK,LOW,LOW,REQUIRED,CHANGED,LOW,LOW,NONE,2.3,2.7,5.4,MEDIUM,CWE-79
CVE-2024-0935,2024-02-01T14:15:56.040,2024-02-09T20:22:43.297,Analyzed,Insertion of Sensitive Information into Log File vulnerabilities are affecting DELMIA Apriso Release 2019 through Release 2024,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,NONE,NONE,3.9,3.6,7.5,HIGH,CWE-532
CVE-2024-1167,2024-02-01T18:15:53.637,2024-02-09T20:20:51.900,Analyzed,"
When SEW-EURODRIVE MOVITOOLS MotionStudio processes XML information unrestricted file access can occur.

",NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,NONE,NONE,3.9,3.6,7.5,HIGH,CWE-611
CVE-2024-24945,2024-02-01T20:50:06.063,2024-02-07T17:14:48.630,Analyzed,A stored cross-site scripting (XSS) vulnerability in Travel Journal Using PHP and MySQL with Source Code v1.0 allows attackers to execute arbitrary web scripts or HTML via a crafted payload injected into the Share Your Moments parameter at /travel-journal/write-journal.php.,NETWORK,LOW,NONE,REQUIRED,CHANGED,LOW,LOW,NONE,2.8,2.7,6.1,MEDIUM,CWE-79
CVE-2023-52118,2024-02-01T11:15:12.970,2024-02-06T01:02:32.410,Analyzed,"Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting') vulnerability in WP Event Manager WP User Profile Avatar allows Stored XSS.This issue affects WP User Profile Avatar: from n/a through 1.0.

",NETWORK,LOW,LOW,REQUIRED,CHANGED,LOW,LOW,NONE,2.3,2.7,5.4,MEDIUM,CWE-79
CVE-2023-51690,2024-02-01T11:15:11.973,2024-02-06T01:03:05.650,Analyzed,"Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting') vulnerability in Advanced iFrame allows Stored XSS.This issue affects Advanced iFrame: from n/a through 2023.8.

",NETWORK,LOW,LOW,REQUIRED,CHANGED,LOW,LOW,NONE,2.3,2.7,5.4,MEDIUM,CWE-79
CVE-2023-52189,2024-02-01T10:15:09.343,2024-02-03T00:38:48.420,Analyzed,"Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting') vulnerability in Jhayghost Ideal Interactive Map allows Stored XSS.This issue affects Ideal Interactive Map: from n/a through 1.2.4.

",NETWORK,LOW,LOW,REQUIRED,CHANGED,LOW,LOW,NONE,2.3,2.7,5.4,MEDIUM,CWE-79
CVE-2024-23031,2024-02-01T23:15:11.020,2024-02-02T16:15:45.433,Analyzed,Cross Site Scripting (XSS) vulnerability in is_water parameter in eyoucms v.1.6.5 allows a remote attacker to run arbitrary code via crafted URL.,NETWORK,LOW,NONE,REQUIRED,CHANGED,LOW,LOW,NONE,2.8,2.7,6.1,MEDIUM,CWE-79
CVE-2023-52192,2024-02-01T10:15:10.027,2024-02-05T21:01:02.157,Analyzed,"Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting') vulnerability in Keap Keap Official Opt-in Forms allows Stored XSS.This issue affects Keap Official Opt-in Forms: from n/a through 1.0.11.

",NETWORK,LOW,LOW,REQUIRED,CHANGED,LOW,LOW,NONE,2.3,2.7,5.4,MEDIUM,CWE-79
CVE-2023-51694,2024-02-01T11:15:12.610,2024-02-06T01:02:45.407,Analyzed,"Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting') vulnerability in Epiphyt Embed Privacy allows Stored XSS.This issue affects Embed Privacy: from n/a through 1.8.0.

",NETWORK,LOW,LOW,REQUIRED,CHANGED,LOW,LOW,NONE,2.3,2.7,5.4,MEDIUM,CWE-79
CVE-2023-51693,2024-02-01T11:15:12.390,2024-02-06T01:02:50.530,Analyzed,"Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting') vulnerability in Themify Icons allows Stored XSS.This issue affects Themify Icons: from n/a through 2.0.1.

",NETWORK,LOW,LOW,REQUIRED,CHANGED,LOW,LOW,NONE,2.3,2.7,5.4,MEDIUM,CWE-79
CVE-2024-0325,2024-02-01T22:15:55.333,2024-02-09T19:48:49.967,Analyzed,"In Helix Sync versions prior to 2024.1, a local command injection was identified.  Reported by Bryan Riggins.  
",LOCAL,LOW,LOW,NONE,UNCHANGED,HIGH,HIGH,HIGH,1.8,5.9,7.8,HIGH,CWE-77
CVE-2024-24557,2024-02-01T17:15:10.953,2024-02-09T20:21:32.970,Analyzed,"Moby is an open-source project created by Docker to enable software containerization. The classic builder cache system is prone to cache poisoning if the image is built FROM scratch. Also, changes to some instructions (most important being HEALTHCHECK and ONBUILD) would not cause a cache miss. An attacker with the knowledge of the Dockerfile someone is using could poison their cache by making them pull a specially crafted image that would be considered as a valid cache candidate for some build steps. 23.0+ users are only affected if they explicitly opted out of Buildkit (DOCKER_BUILDKIT=0 environment variable) or are using the /build API endpoint. All users on versions older than 23.0 could be impacted. Image build API endpoint (/build) and ImageBuild function from github.com/docker/docker/client is also affected as it the uses classic builder by default. Patches are included in 24.0.9 and 25.0.2 releases.",LOCAL,LOW,NONE,REQUIRED,UNCHANGED,HIGH,HIGH,HIGH,1.8,5.9,7.8,HIGH,CWE-346
CVE-2023-51691,2024-02-01T11:15:12.200,2024-02-06T01:02:56.130,Analyzed,"Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting') vulnerability in gVectors Team Comments – wpDiscuz allows Stored XSS.This issue affects Comments – wpDiscuz: from n/a through 7.6.12.

",NETWORK,LOW,HIGH,REQUIRED,CHANGED,LOW,LOW,NONE,1.7,2.7,4.8,MEDIUM,CWE-79
CVE-2024-24561,2024-02-01T17:15:11.180,2024-02-09T20:21:23.980,Analyzed,"Vyper is a pythonic Smart Contract Language for the ethereum virtual machine. In versions 0.3.10 and earlier, the bounds check for slices does not account for the ability for start + length to overflow when the values aren't literals. If a slice() function uses a non-literal argument for the start or length variable, this creates the ability for an attacker to overflow the bounds check. This issue can be used to do OOB access to storage, memory or calldata addresses. It can also be used to corrupt the length slot of the respective array.

",NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,3.9,5.9,9.8,CRITICAL,CWE-787
CVE-2024-24041,2024-02-01T20:50:05.760,2024-02-07T17:14:41.607,Analyzed,A stored cross-site scripting (XSS) vulnerability in Travel Journal Using PHP and MySQL with Source Code v1.0 allows attackers to execute arbitrary web scripts or HTML via a crafted payload injected into the location parameter at /travel-journal/write-journal.php.,NETWORK,LOW,NONE,REQUIRED,CHANGED,LOW,LOW,NONE,2.8,2.7,6.1,MEDIUM,CWE-79
CVE-2023-51669,2024-02-01T11:15:10.647,2024-02-07T17:06:50.843,Analyzed,"Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting') vulnerability in Artios Media Product Code for WooCommerce allows Stored XSS.This issue affects Product Code for WooCommerce: from n/a through 1.4.4.

",NETWORK,LOW,LOW,REQUIRED,CHANGED,LOW,LOW,NONE,2.3,2.7,5.4,MEDIUM,CWE-79
CVE-2024-22927,2024-02-01T23:15:10.960,2024-02-02T16:15:40.137,Analyzed,Cross Site Scripting (XSS) vulnerability in the func parameter in eyoucms v.1.6.5 allows a remote attacker to run arbitrary code via crafted URL.,NETWORK,LOW,NONE,REQUIRED,CHANGED,LOW,LOW,NONE,2.8,2.7,6.1,MEDIUM,CWE-79
CVE-2023-51677,2024-02-01T11:15:11.050,2024-02-07T17:09:45.347,Analyzed,"Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting') vulnerability in Magazine3 Schema & Structured Data for WP & AMP allows Stored XSS.This issue affects Schema & Structured Data for WP & AMP: from n/a through 1.23.

",NETWORK,LOW,LOW,REQUIRED,CHANGED,LOW,LOW,NONE,2.3,2.7,5.4,MEDIUM,CWE-79
CVE-2024-24570,2024-02-01T17:15:11.403,2024-02-14T17:15:14.840,Modified,"Statamic is a Laravel and Git powered CMS. HTML files crafted to look like jpg files are able to be uploaded, allowing for XSS. This affects the front-end forms with asset fields without any mime type validation, asset fields in the control panel, and asset browser in the control panel. Additionally, if the XSS is crafted in a specific way, the ""copy password reset link"" feature may be exploited to gain access to a user's password reset token and gain access to their account. The authorized user is required to execute the XSS in order for the vulnerability to occur. In versions 4.46.0 and 3.4.17, the XSS vulnerability has been patched, and the copy password reset link functionality has been disabled. ",NETWORK,LOW,NONE,REQUIRED,CHANGED,LOW,LOW,NONE,2.8,2.7,6.1,MEDIUM,CWE-79
CVE-2024-24752,2024-02-01T16:17:14.487,2024-02-09T01:45:17.263,Analyzed,"Bref enable serverless PHP on AWS Lambda. When Bref is used with the Event-Driven Function runtime and the handler is a `RequestHandlerInterface`, then the Lambda event is converted to a PSR7 object. During the conversion process, if the request is a MultiPart, each part is parsed and for each which contains a file, it is extracted and saved in `/tmp` with a random filename starting with `bref_upload_`. The flow mimics what plain PHP does but it does not delete the temporary files when the request has been processed. An attacker could fill the Lambda instance disk by performing multiple MultiPart requests containing files. This vulnerability is patched in 2.1.13.",NETWORK,LOW,LOW,NONE,UNCHANGED,NONE,NONE,HIGH,2.8,3.6,6.5,MEDIUM,CWE-400
CVE-2023-38019,2024-02-02T04:15:07.937,2024-02-09T19:13:52.923,Analyzed,"IBM SOAR QRadar Plugin App 1.0 through 5.0.3 could allow a remote attacker to traverse directories on the system. An attacker could send a specially crafted URL request containing ""dot dot"" sequences (/../) to view arbitrary files on the system.  IBM X-Force ID:  260575.",NETWORK,LOW,LOW,NONE,UNCHANGED,HIGH,NONE,NONE,2.8,3.6,6.5,MEDIUM,CWE-22
CVE-2024-22148,2024-02-01T10:15:12.223,2024-02-03T00:30:56.520,Analyzed,"Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting') vulnerability in WP Smart Editor JoomUnited allows Reflected XSS.This issue affects JoomUnited: from n/a through 1.3.3.

",NETWORK,LOW,NONE,REQUIRED,CHANGED,LOW,LOW,NONE,2.8,2.7,6.1,MEDIUM,CWE-79
CVE-2023-52193,2024-02-01T10:15:10.423,2024-02-06T17:22:44.897,Analyzed,"Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting') vulnerability in Live Composer Team Page Builder: Live Composer allows Stored XSS.This issue affects Page Builder: Live Composer: from n/a through 1.5.23.

",NETWORK,LOW,LOW,REQUIRED,CHANGED,LOW,LOW,NONE,2.3,2.7,5.4,MEDIUM,CWE-79
CVE-2024-24569,2024-02-01T19:15:08.360,2024-02-09T20:15:06.707,Analyzed,"The Pixee Java Code Security Toolkit is a set of security APIs meant to help secure Java code. `ZipSecurity#isBelowCurrentDirectory` is vulnerable to a partial-path traversal bypass. To be vulnerable to the bypass, the application must use toolkit version <=1.1.1, use ZipSecurity as a guard against path traversal, and have an exploit path. Although the control still protects attackers from escaping the application path into higher level directories (e.g., /etc/), it will allow ""escaping"" into sibling paths. For example, if your running path is /my/app/path you an attacker could navigate into /my/app/path-something-else. This vulnerability is patched in 1.1.2.

",NETWORK,HIGH,NONE,NONE,UNCHANGED,LOW,LOW,NONE,2.2,2.5,4.8,MEDIUM,CWE-22
CVE-2023-52194,2024-02-01T10:15:10.880,2024-02-06T17:38:15.577,Analyzed,"Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting') vulnerability in Takayuki Miyauchi oEmbed Gist allows Stored XSS.This issue affects oEmbed Gist: from n/a through 4.9.1.

",NETWORK,LOW,LOW,REQUIRED,CHANGED,LOW,LOW,NONE,2.3,2.7,5.4,MEDIUM,CWE-79
CVE-2023-51695,2024-02-01T11:15:12.790,2024-02-06T01:02:41.030,Analyzed,"Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting') vulnerability in WPEverest Everest Forms – Build Contact Forms, Surveys, Polls, Application Forms, and more with Ease! allows Stored XSS.This issue affects Everest Forms – Build Contact Forms, Surveys, Polls, Application Forms, and more with Ease!: from n/a through 2.0.4.1.

",NETWORK,LOW,HIGH,REQUIRED,CHANGED,LOW,LOW,NONE,1.7,2.7,4.8,MEDIUM,CWE-79
CVE-2023-52188,2024-02-01T10:15:09.040,2024-02-03T00:39:01.677,Analyzed,"Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting') vulnerability in Russell Jamieson Footer Putter allows Stored XSS.This issue affects Footer Putter: from n/a through 1.17.

",NETWORK,LOW,LOW,REQUIRED,CHANGED,LOW,LOW,NONE,2.3,2.7,5.4,MEDIUM,CWE-79
CVE-2023-51534,2024-02-01T11:15:09.527,2024-02-06T17:04:08.383,Analyzed,"Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting') vulnerability in Brave Brave – Create Popup, Optins, Lead Generation, Survey, Sticky Elements & Interactive Content allows Stored XSS.This issue affects Brave – Create Popup, Optins, Lead Generation, Survey, Sticky Elements & Interactive Content: from n/a through 0.6.2.

",NETWORK,LOW,HIGH,REQUIRED,CHANGED,LOW,LOW,NONE,1.7,2.7,4.8,MEDIUM,CWE-79
CVE-2023-51536,2024-02-01T11:15:09.810,2024-02-07T17:38:06.913,Analyzed,"Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting') vulnerability in CRM Perks CRM Perks Forms – WordPress Form Builder allows Stored XSS.This issue affects CRM Perks Forms – WordPress Form Builder: from n/a through 1.1.2.

",NETWORK,LOW,HIGH,REQUIRED,CHANGED,LOW,LOW,NONE,1.7,2.7,4.8,MEDIUM,CWE-79
CVE-2024-22319,2024-02-02T03:15:10.573,2024-02-06T19:52:31.520,Analyzed,"
IBM Operational Decision Manager 8.10.3, 8.10.4, 8.10.5.1, 8.11, 8.11.0.1, and 8.12.0.1 is susceptible to remote code execution attack via JNDI injection when passing an unchecked argument to a certain API.  IBM X-Force ID:  279145.

",NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,3.9,5.9,9.8,CRITICAL,CWE-74
CVE-2023-39297,2024-02-02T16:15:46.887,2024-02-08T03:51:19.150,Analyzed,"An OS command injection vulnerability has been reported to affect several QNAP operating system versions. If exploited, the vulnerability could allow authenticated users to execute commands via a network.

We have already fixed the vulnerability in the following versions:
QTS 5.1.4.2596 build 20231128 and later
QTS 4.5.4.2627 build 20231225 and later
QuTS hero h5.1.4.2596 build 20231128 and later
QuTS hero h4.5.4.2626 build 20231225 and later
QuTScloud c5.1.5.2651 and later
",NETWORK,LOW,LOW,NONE,UNCHANGED,HIGH,HIGH,HIGH,2.8,5.9,8.8,HIGH,CWE-78
CVE-2021-22281,2024-02-02T08:15:46.013,2024-02-10T01:03:31.623,Analyzed,": Relative Path Traversal vulnerability in B&R Industrial Automation Automation Studio allows Relative Path Traversal.This issue affects Automation Studio: from 4.0 through 4.12.

",NETWORK,LOW,NONE,NONE,UNCHANGED,NONE,HIGH,NONE,3.9,3.6,7.5,HIGH,CWE-22
CVE-2024-0253,2024-02-02T13:15:09.700,2024-02-10T01:04:56.070,Analyzed,"ManageEngine ADAudit Plus versions 7270 and below are vulnerable to the Authenticated SQL injection in home Graph-Data.
",NETWORK,LOW,LOW,NONE,UNCHANGED,HIGH,HIGH,HIGH,2.8,5.9,8.8,HIGH,CWE-89
CVE-2023-47562,2024-02-02T16:15:52.020,2024-02-07T17:50:38.510,Analyzed,"An OS command injection vulnerability has been reported to affect Photo Station. If exploited, the vulnerability could allow authenticated users to execute commands via a network.

We have already fixed the vulnerability in the following version:
Photo Station 6.4.2 ( 2023/12/15 ) and later
",NETWORK,LOW,LOW,NONE,UNCHANGED,HIGH,HIGH,HIGH,2.8,5.9,8.8,HIGH,CWE-77
CVE-2024-23831,2024-02-02T16:15:55.593,2024-02-10T01:43:51.527,Analyzed,"LedgerSMB is a free web-based double-entry accounting system. When a LedgerSMB database administrator has an active session in /setup.pl, an attacker can trick the admin into clicking on a link which automatically submits a request to setup.pl without the admin's consent.  This request can be used to create a new user account with full application (/login.pl) privileges, leading to privilege escalation.  The vulnerability is patched in versions 1.10.30 and 1.11.9.
",NETWORK,HIGH,NONE,REQUIRED,UNCHANGED,HIGH,HIGH,HIGH,1.6,5.9,7.5,HIGH,CWE-352
CVE-2024-24560,2024-02-02T17:15:11.720,2024-02-12T15:23:42.867,Analyzed,"Vyper is a Pythonic Smart Contract Language for the Ethereum Virtual Machine. When calls to external contracts are made, we write the input buffer starting at byte 28, and allocate the return buffer to start at byte 0 (overlapping with the input buffer). When checking RETURNDATASIZE for dynamic types, the size is compared only to the minimum allowed size for that type, and not to the returned value's length. As a result, malformed return data can cause the contract to mistake data from the input buffer for returndata.  When the called contract returns invalid ABIv2 encoded data, the calling contract can read different invalid data (from the dirty buffer) than the called contract returned.",NETWORK,LOW,NONE,NONE,UNCHANGED,LOW,NONE,NONE,3.9,1.4,5.3,MEDIUM,CWE-119
CVE-2024-1196,2024-02-02T22:15:25.997,2024-02-29T01:43:43.210,Modified,A vulnerability classified as problematic was found in SourceCodester Testimonial Page Manager 1.0. This vulnerability affects unknown code of the file add-testimonial.php of the component HTTP POST Request Handler. The manipulation of the argument name/description/testimony leads to cross site scripting. The attack can be initiated remotely. VDB-252694 is the identifier assigned to this vulnerability.,NETWORK,LOW,NONE,REQUIRED,CHANGED,LOW,LOW,NONE,2.8,2.7,6.1,MEDIUM,CWE-79
